face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final,attractiveness
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,60-69,"[0.67956656 0.00174518 0.07175537 0.00340809 0.00847637 0.02253487
 0.21251349]",[0.6632107  0.00157085 0.09418306 0.2410354 ],[0.9973286 0.0026714],"[1.6714623e-05 3.9821633e-05 1.9838878e-04 2.9026050e-04 4.8476353e-04
 3.7434855e-03 7.0951372e-02 4.8359111e-01 4.4068408e-01]",White,60+,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,Latino_Hispanic,Asian,Male,50-59,"[0.07663921 0.01976486 0.63378125 0.01140105 0.10024218 0.03958512
 0.11858649]",[0.09076892 0.00799162 0.83697814 0.06426138],[9.9999815e-01 1.8694899e-06],"[5.9950322e-05 1.3044065e-04 3.7761821e-04 5.4417353e-04 1.4420729e-02
 2.0743619e-01 6.8439025e-01 9.0879552e-02 1.7611413e-03]",Others,40-59,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,Middle Eastern,White,Male,60-69,"[0.20999014 0.0008191  0.01052396 0.00110149 0.01046589 0.02797801
 0.73912144]",[0.6681086  0.00097319 0.19913486 0.13178341],[0.98333174 0.01666829],"[2.9550407e-05 3.1981650e-05 1.8596899e-04 3.5062339e-04 3.1767196e-03
 4.9963005e-02 3.1107816e-01 4.6688637e-01 1.6829763e-01]",White,60+,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,Indian,Indian,Male,40-49,"[3.7025604e-01 1.9777205e-04 2.3163128e-01 7.5138395e-04 1.7722255e-02
 3.7164667e-01 7.7946186e-03]",[0.24853979 0.00201172 0.0701937  0.6792548 ],[9.9999630e-01 3.6965985e-06],"[4.1878615e-05 7.3529291e-04 7.6268101e-03 5.5133142e-03 1.0428905e-01
 6.3892442e-01 2.3679379e-01 6.0138092e-03 6.1666302e-05]",Others,40-59,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,50-59,"[7.9993707e-01 1.5843354e-04 1.3291001e-01 6.0872314e-04 1.1355812e-02
 3.0534435e-02 2.4495497e-02]",[9.6430165e-01 5.3771195e-04 1.8812587e-02 1.6348038e-02],[0.9983661 0.0016339],"[3.5670830e-05 4.5455090e-04 4.2768577e-03 1.3493219e-03 8.0200071e-03
 7.5314514e-02 4.3435296e-01 3.9014131e-01 8.6054869e-02]",White,40-59,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,Indian,Indian,Male,50-59,"[0.03569462 0.01652856 0.2935109  0.01046182 0.17520414 0.46562704
 0.0029729 ]",[0.03091375 0.0110678  0.3718954  0.586123  ],[9.9999976e-01 2.0695356e-07],"[2.8584916e-05 2.2795566e-04 1.1020009e-03 2.0784468e-03 4.0400766e-02
 4.3961939e-01 4.9031854e-01 2.6036035e-02 1.8822019e-04]",Others,40-59,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,Middle Eastern,White,Male,60-69,"[0.21324462 0.00084914 0.22922693 0.00088155 0.01709334 0.23103741
 0.30766702]",[0.5739263  0.00092871 0.06427233 0.36087266],[9.9998969e-01 1.0395395e-05],"[7.4864874e-05 1.4892222e-04 5.1088451e-04 5.4545948e-05 4.7806255e-04
 1.8620003e-02 4.2273739e-01 5.1856750e-01 3.8807854e-02]",Others,60+,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,White,Male,50-59,"[9.8533350e-01 8.1402586e-06 5.3137150e-03 1.2317654e-05 1.9543477e-04
 3.8553607e-03 5.2815261e-03]",[9.9255764e-01 6.9534493e-05 4.3194718e-04 6.9408631e-03],[0.9385428  0.06145719],"[5.0163762e-06 4.5963388e-05 1.3788810e-03 8.0652013e-03 2.2260698e-02
 1.9106375e-01 5.0425768e-01 1.8225862e-01 9.0664230e-02]",White,40-59,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,White,Male,60-69,"[9.8849016e-01 1.5227063e-04 3.5339692e-03 1.1611823e-04 5.2916305e-04
 5.5659283e-04 6.6217463e-03]",[9.6357381e-01 5.9115177e-04 2.0905999e-02 1.4929040e-02],[9.9999398e-01 6.0215166e-06],"[1.0565101e-05 1.5483702e-05 1.9903472e-04 2.4188474e-04 2.1340016e-03
 3.3407167e-02 4.6962288e-01 4.7273195e-01 2.1637002e-02]",White,60+,
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,70+,"[0.7013303  0.00735462 0.05326637 0.00233492 0.01731607 0.03923095
 0.17916678]",[0.83702964 0.00860277 0.06749067 0.08687698],[9.9981862e-01 1.8143769e-04],"[2.96309081e-05 1.11484966e-04 3.49310198e-04 1.68877814e-04
 3.51682422e-04 1.80588278e-03 3.33663672e-02 4.25826132e-01
 5.37990630e-01]",White,60+,
