face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[5.6612811e-05 3.8788089e-06 1.1449902e-03 5.5263883e-01 4.4521755e-01
 9.2971418e-04 8.3909408e-06]",[6.3523753e-06 6.5630256e-06 9.9854267e-01 1.4443747e-03],[1.5382071e-04 9.9984622e-01],"[2.3528994e-06 4.1173939e-02 7.9795229e-01 1.6022889e-01 6.3989247e-04
 2.6041810e-06 5.2280589e-09 8.9299301e-10 2.9154026e-11]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,East Asian,Asian,Female,10-19,"[7.3542236e-05 2.4213099e-07 3.2557841e-04 8.8106781e-01 1.1844807e-01
 8.2091414e-05 2.6545126e-06]",[2.7649183e-05 2.4358440e-07 9.9993217e-01 3.9957486e-05],[0.00351481 0.99648523],"[4.3496073e-07 6.2696519e-03 6.8671089e-01 3.0483609e-01 2.1634325e-03
 1.9415897e-05 3.0301969e-08 5.8055907e-09 1.3562095e-10]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,10-19,"[4.42903765e-05 1.66825453e-06 1.58058596e-03 6.16843820e-01
 3.80694658e-01 8.23722978e-04 1.12580665e-05]",[5.9380668e-06 3.4109376e-06 9.9955034e-01 4.4026709e-04],[0.00168299 0.998317  ],"[4.5999650e-07 3.2870378e-02 8.5925269e-01 1.0764536e-01 2.3030590e-04
 7.9219905e-07 1.3924392e-09 2.5601801e-10 7.8717154e-12]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,10-19,"[2.4944467e-05 3.7566981e-06 4.9644493e-04 7.2410262e-01 2.7441630e-01
 9.5340709e-04 2.4989556e-06]",[3.4152054e-06 6.7425908e-06 9.9968040e-01 3.0944770e-04],[0.00421549 0.99578446],"[2.8491106e-05 2.8891882e-01 6.2897301e-01 8.1559204e-02 5.1421899e-04
 6.1868855e-06 3.0037942e-08 6.9445889e-09 2.8020475e-10]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,10-19,"[2.6577723e-05 6.8931549e-06 1.1276804e-03 5.6648183e-01 4.3156967e-01
 7.8502501e-04 2.3285629e-06]",[6.4169617e-06 1.7752205e-05 9.9966168e-01 3.1407332e-04],[0.00691673 0.99308324],"[1.3987901e-06 2.4694616e-02 8.2304245e-01 1.5177856e-01 4.8138257e-04
 1.5790606e-06 2.7354976e-09 4.4995410e-10 1.2304867e-11]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,10-19,"[5.9892838e-05 2.5830368e-06 1.8550544e-03 6.3709700e-01 3.6000973e-01
 9.7252085e-04 3.2165551e-06]",[5.2798564e-06 1.6735898e-06 9.9970216e-01 2.9094148e-04],[0.00177552 0.99822444],"[1.7664260e-06 5.9722248e-02 8.3352071e-01 1.0632756e-01 4.2445734e-04
 3.2728913e-06 5.9668577e-09 1.1141802e-09 3.3013703e-11]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[7.8717530e-05 4.9593325e-07 1.0136612e-03 7.6328760e-01 2.3530775e-01
 3.0708316e-04 4.6843988e-06]",[1.1100426e-05 2.2916352e-06 9.9981284e-01 1.7368744e-04],[4.2409304e-04 9.9957585e-01],"[8.2534598e-08 2.7058993e-03 6.7396724e-01 3.2136235e-01 1.9568373e-03
 7.6498945e-06 5.1899232e-09 5.6454214e-10 7.5153755e-12]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,Southeast Asian,Asian,Female,10-19,"[1.0662116e-04 3.3720225e-05 9.7057074e-03 3.3786154e-01 6.4496344e-01
 7.3101688e-03 1.8770908e-05]",[5.1494604e-05 3.4036337e-05 9.8813742e-01 1.1777067e-02],[1.8675449e-04 9.9981320e-01],"[5.6390468e-06 3.5249427e-01 6.2390387e-01 2.3404423e-02 1.9024158e-04
 1.5145313e-06 5.3121152e-09 1.2875122e-09 4.7480866e-11]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,Southeast Asian,Asian,Female,10-19,"[4.3308253e-05 7.7017276e-06 3.6710389e-03 1.5207091e-01 8.4276986e-01
 1.4335137e-03 3.6793765e-06]",[3.3400447e-05 1.4197084e-05 9.9655771e-01 3.3946729e-03],[5.435338e-04 9.994565e-01],"[2.2655265e-06 5.9578948e-02 8.6078894e-01 7.9329923e-02 2.9840047e-04
 1.5528420e-06 2.7720626e-09 4.6494536e-10 1.6792177e-11]"
/scratch/project_462000771/mengting/projects/bias/SD3/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,10-19,"[5.1353851e-05 8.7573068e-07 8.0099347e-04 5.7996976e-01 4.1882560e-01
 3.4860874e-04 2.7888932e-06]",[3.6374822e-06 7.3657111e-07 9.9994034e-01 5.5253106e-05],[0.00201018 0.99798983],"[3.1490876e-07 1.5583781e-02 8.1767023e-01 1.6627921e-01 4.6469984e-04
 1.7344711e-06 1.3890079e-09 2.6579094e-10 5.8473031e-12]"
