face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,30-39,"[7.7645683e-01 2.0476051e-02 1.3985126e-01 3.9190910e-04 1.7413343e-03
 1.7681735e-02 4.3400947e-02]",[0.9164007  0.02160693 0.02522618 0.03676626],[9.9999905e-01 8.8210248e-07],"[2.7210982e-07 1.9779891e-06 8.3447376e-04 1.4799830e-01 5.5311388e-01
 2.7758825e-01 2.0124242e-02 3.2724536e-04 1.1266342e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,Latino_Hispanic,White,Male,20-29,"[0.24961719 0.00107824 0.5891031  0.00357789 0.01090651 0.01943941
 0.12627769]",[8.8611799e-01 4.6469882e-04 3.7739817e-02 7.5677477e-02],[9.9999964e-01 3.9651411e-07],"[3.4860950e-08 1.3551424e-06 2.8866704e-03 5.7591116e-01 4.0783003e-01
 1.3287958e-02 8.1349244e-05 1.3816071e-06 2.3543128e-08]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,White,Male,50-59,"[8.0149645e-01 6.7617024e-05 1.6564530e-01 2.0924327e-03 1.8725840e-03
 4.9078953e-03 2.3917846e-02]",[9.9490279e-01 9.4083352e-06 3.3917299e-03 1.6960165e-03],[9.9991906e-01 8.0883801e-05],"[3.5279652e-05 3.2050149e-05 4.3185567e-04 5.6328066e-04 2.3186928e-02
 3.1948557e-01 6.1476642e-01 4.1133940e-02 3.6470554e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,Latino_Hispanic,White,Male,20-29,"[1.2758648e-01 1.5361565e-03 6.4308047e-01 2.6763597e-04 1.3915700e-03
 3.9301001e-02 1.8683670e-01]",[0.52254117 0.00823229 0.03114227 0.4380843 ],[9.999995e-01 4.892104e-07],"[1.06060114e-07 3.04506716e-06 5.10509498e-03 4.83696282e-01
 4.72199976e-01 3.84202302e-02 5.70038217e-04 5.16353339e-06
 8.45751131e-08]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,60-69,"[9.1823572e-01 2.6925360e-03 1.5849896e-02 1.4037341e-04 2.6153895e-04
 3.4360640e-02 2.8459258e-02]",[0.87892044 0.04249909 0.0035953  0.07498515],[0.9860326  0.01396742],"[1.0388203e-05 4.1664471e-06 2.1420499e-05 7.0311580e-05 5.0208753e-04
 1.3506828e-02 3.2230544e-01 5.5670404e-01 1.0687532e-01]",White,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Male,30-39,"[6.240160e-01 1.195110e-03 5.072986e-02 2.504668e-05 8.728213e-05
 5.146399e-03 3.188004e-01]",[0.8795296  0.00355417 0.00227589 0.11464038],[0.9958029  0.00419709],"[1.5196838e-06 9.9067065e-06 2.2676114e-03 1.4840037e-01 5.8876508e-01
 2.4301225e-01 1.6765412e-02 7.3180243e-04 4.6151112e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,Indian,Indian,Male,40-49,"[1.0825160e-03 2.0103516e-01 9.7459301e-02 2.6830556e-05 8.5763884e-04
 6.8024296e-01 1.9295519e-02]",[2.0103842e-04 4.5733511e-01 7.0029334e-03 5.3546089e-01],[9.9998546e-01 1.4534534e-05],"[7.8051025e-06 9.5753730e-06 2.9392439e-04 1.6530313e-02 3.5372263e-01
 5.2456075e-01 1.0076094e-01 4.0497966e-03 6.4246917e-05]",Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,Latino_Hispanic,White,Male,30-39,"[0.24801295 0.0076128  0.39221653 0.08716743 0.06429271 0.04910736
 0.15159029]",[0.40090057 0.00305127 0.3546089  0.2414393 ],[9.99898970e-01 1.01007776e-04],"[2.8791565e-06 9.8519267e-06 6.5384927e-04 9.2083722e-02 5.8917898e-01
 3.0341288e-01 1.4305686e-02 3.4245793e-04 9.7212360e-06]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,Indian,Indian,Male,40-49,"[0.02798479 0.03391302 0.4154963  0.00277412 0.01493758 0.45305854
 0.05183575]",[0.25389418 0.0197582  0.06933204 0.6570156 ],[9.9994475e-01 5.5205575e-05],"[3.93756272e-06 1.49277685e-05 3.87010077e-04 1.38757685e-02
 2.89591372e-01 5.98591805e-01 9.63859633e-02 1.12473976e-03
 2.45090323e-05]",Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,40-49,"[0.74211043 0.00119818 0.19210413 0.00296537 0.00484158 0.00447424
 0.05230599]",[9.8949319e-01 2.7467121e-04 6.8470663e-03 3.3850418e-03],[9.9984396e-01 1.5600846e-04],"[1.5505531e-06 4.3149525e-06 1.9230928e-04 9.5226951e-03 2.7108017e-01
 6.2575793e-01 9.2286013e-02 1.1401908e-03 1.4907494e-05]",White,40-59
