face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,20-29,"[5.1278563e-04 1.2319775e-06 1.3876955e-03 7.7924752e-01 2.1876463e-01
 8.0538426e-05 5.5546980e-06]",[6.5988490e-05 5.5906035e-06 9.9976766e-01 1.6074824e-04],[3.4899113e-05 9.9996507e-01],"[1.1293557e-06 8.5248379e-03 4.4962123e-01 5.2246088e-01 1.9256163e-02
 1.3543507e-04 2.8606314e-07 1.5015779e-08 4.0104250e-10]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,East Asian,Asian,Female,20-29,"[3.7055986e-04 2.7164963e-06 3.8838698e-04 8.3500648e-01 1.6412565e-01
 9.7999509e-05 8.1653861e-06]",[2.1062577e-04 1.8703795e-05 9.9966675e-01 1.0390441e-04],[4.9101054e-05 9.9995089e-01],"[2.4307722e-08 1.1433221e-04 1.3244240e-01 7.9999459e-01 6.6590287e-02
 8.5595611e-04 2.2753431e-06 9.5708309e-08 1.4542506e-09]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,20-29,"[2.3094623e-04 1.0249931e-06 6.6718698e-04 8.2024723e-01 1.7879935e-01
 5.1198342e-05 3.0391170e-06]",[1.8323153e-04 9.9170302e-06 9.9962026e-01 1.8656018e-04],[1.5496295e-04 9.9984503e-01],"[8.82933534e-07 6.69497065e-03 3.95545006e-01 5.87922037e-01
 9.72637348e-03 1.10426976e-04 3.50063772e-07 2.51602312e-08
 7.21480264e-10]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,20-29,"[1.4334818e-04 8.2995831e-07 4.6722058e-04 9.0923387e-01 9.0079412e-02
 6.9205744e-05 6.1059682e-06]",[3.8975489e-04 1.6317688e-05 9.9925011e-01 3.4378521e-04],[3.3133602e-04 9.9966872e-01],"[1.8746583e-08 9.8740529e-05 1.2869835e-01 8.0698699e-01 6.3185818e-02
 1.0260155e-03 3.9121092e-06 1.9644877e-07 2.5274915e-09]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,10-19,"[1.1128001e-04 1.1046338e-05 1.7057768e-03 5.8470762e-01 4.1318449e-01
 2.7431420e-04 5.4096295e-06]",[9.1879367e-05 1.0763481e-05 9.9960214e-01 2.9524229e-04],[2.2510698e-04 9.9977487e-01],"[4.72022094e-07 1.17880795e-02 5.92803597e-01 3.88059258e-01
 7.26826116e-03 8.01031347e-05 2.29171960e-07 1.84951521e-08
 5.09138620e-10]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,20-29,"[1.0564049e-03 1.2208665e-05 8.5928515e-03 6.3810754e-01 3.5111931e-01
 1.0412388e-03 7.0408438e-05]",[1.3378399e-04 1.8680224e-05 9.9951851e-01 3.2903382e-04],[6.6386878e-05 9.9993366e-01],"[9.3037912e-08 1.3065663e-03 3.3416286e-01 6.5020645e-01 1.4256689e-02
 6.7190711e-05 1.3753404e-07 6.4842167e-09 1.1815240e-10]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[3.0040820e-04 8.2989372e-06 1.6528944e-03 7.1130919e-01 2.8639024e-01
 3.3163338e-04 7.3762021e-06]",[1.18530945e-04 2.69785451e-05 9.98595476e-01 1.25900656e-03],[8.543539e-04 9.991456e-01],"[2.1420390e-06 1.3847549e-02 5.6496197e-01 4.0284139e-01 1.7827718e-02
 5.1334675e-04 5.3557947e-06 4.8908817e-07 1.8391573e-08]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,20-29,"[4.7816659e-04 3.7829361e-06 2.1444263e-03 7.5168568e-01 2.4517579e-01
 4.8516254e-04 2.6949658e-05]",[3.1089748e-04 6.8909226e-06 9.9854386e-01 1.1383669e-03],[3.7267801e-04 9.9962735e-01],"[5.6683137e-07 1.2504403e-03 1.3652900e-01 7.2633082e-01 1.3026118e-01
 5.5319024e-03 8.7798595e-05 8.0603677e-06 2.0900822e-07]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,10-19,"[2.3634529e-04 1.3310703e-06 1.2412519e-03 8.3060670e-01 1.6782759e-01
 8.3431871e-05 3.3908852e-06]",[2.6090725e-05 2.5201189e-06 9.9990654e-01 6.4813365e-05],[1.3167218e-04 9.9986833e-01],"[2.4789013e-06 3.5600871e-02 4.9180669e-01 4.5666632e-01 1.5757306e-02
 1.6562629e-04 6.6774805e-07 3.6019777e-08 1.0327040e-09]"
/scratch/project_462000771/mengting/projects/bias/Proteus/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,20-29,"[1.2313217e-04 1.9171466e-06 3.0909813e-04 9.3921536e-01 6.0339231e-02
 8.8378192e-06 2.4369383e-06]",[9.2171067e-05 4.0108931e-05 9.9980915e-01 5.8510617e-05],[1.5739883e-05 9.9998420e-01],"[9.1251536e-07 2.3659628e-03 2.7250320e-01 7.0009547e-01 2.4821000e-02
 2.1219334e-04 1.2376747e-06 7.7252039e-08 2.0435027e-09]"
