face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,White,Male,40-49,"[9.7428465e-01 5.7193804e-05 6.3874833e-03 8.0164107e-05 1.4772783e-04
 1.4901450e-03 1.7552568e-02]",[9.9793440e-01 3.3367927e-05 5.5456557e-04 1.4776320e-03],[0.99702054 0.00297949],"[9.6643298e-06 1.2141461e-04 1.2260535e-03 4.4824280e-02 4.4734079e-01
 4.6681917e-01 3.9096657e-02 5.3126155e-04 3.0597424e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,White,Male,30-39,"[0.3470802  0.0007481  0.23249815 0.00069387 0.00173543 0.12469973
 0.29254457]",[0.8678608  0.00580992 0.00433299 0.12199635],[9.9978912e-01 2.1085709e-04],"[2.0069889e-07 2.3342573e-05 2.7908010e-03 4.8846596e-01 4.9296483e-01
 1.5699945e-02 5.4394539e-05 5.3294929e-07 1.2982531e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,White,White,Male,30-39,"[9.94500339e-01 1.12092475e-05 1.90129876e-03 5.62420348e-04
 3.88788292e-04 5.25679243e-05 2.58328835e-03]",[9.9788517e-01 2.8702623e-05 1.8547219e-03 2.3146362e-04],[0.69036025 0.30963978],"[3.6820165e-06 2.5089868e-04 6.9527254e-03 3.0455649e-01 5.5917448e-01
 1.2508260e-01 3.9105718e-03 6.1383158e-05 7.2056914e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,White,White,Male,20-29,"[0.7916923  0.0098604  0.10564259 0.00236632 0.00541504 0.00916287
 0.07586042]",[0.9877137  0.00600152 0.00442659 0.00185825],[0.9967482  0.00325178],"[7.3243923e-06 5.6518470e-03 4.9888786e-02 6.2159449e-01 3.0565059e-01
 1.6997507e-02 2.0576167e-04 3.4707139e-06 2.7469446e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,White,White,Male,30-39,"[9.6905816e-01 8.4954117e-05 1.4581312e-02 9.3351395e-05 1.4549556e-04
 5.6700257e-04 1.5469784e-02]",[9.9925101e-01 9.4175179e-05 4.8973394e-04 1.6504126e-04],[0.9816445  0.01835549],"[7.1685417e-07 4.7111840e-05 3.8400886e-03 3.9841172e-01 5.0613511e-01
 8.8915154e-02 2.6126495e-03 3.5502682e-05 1.9063134e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,White,White,Male,20-29,"[0.38621792 0.0112689  0.3487121  0.00158685 0.00539406 0.01167539
 0.23514475]",[0.9604432  0.00113936 0.03483197 0.00358544],[0.9820051  0.01799487],"[1.5994793e-06 5.8168382e-04 3.7074737e-02 5.8738947e-01 3.5099113e-01
 2.3518147e-02 4.3445543e-04 8.3395807e-06 4.8476403e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,White,White,Male,30-39,"[9.9979860e-01 1.5697238e-07 5.3511067e-05 2.8054507e-07 6.9128021e-07
 2.7306553e-06 1.4402538e-04]",[9.9997437e-01 7.7812530e-07 3.5348851e-06 2.1317646e-05],[9.999998e-01 1.786651e-07],"[1.6140400e-07 1.5031896e-05 1.9450253e-03 3.2917151e-01 6.0934991e-01
 5.9074637e-02 4.4231315e-04 1.4351264e-06 2.3601016e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,White,White,Male,30-39,"[9.2334145e-01 4.1398060e-04 2.7546735e-02 6.4949872e-04 5.7545770e-04
 1.2906159e-03 4.6182293e-02]",[9.9297953e-01 5.1277061e-04 5.2818740e-03 1.2258696e-03],[9.9999267e-01 7.3310998e-06],"[3.73092810e-08 1.81221378e-06 3.17148864e-04 1.86861143e-01
 7.85111189e-01 2.76082028e-02 1.00048885e-04 4.85895043e-07
 6.47791110e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,White,Male,30-39,"[6.7408425e-01 8.8256352e-02 1.6389322e-01 5.1954383e-04 1.7246368e-03
 3.1088091e-02 4.0433902e-02]",[0.8874881  0.04077562 0.00221762 0.06951861],[0.9616884  0.03831162],"[1.7536289e-05 1.3074832e-03 1.7885620e-02 4.1470143e-01 5.2848673e-01
 3.6416177e-02 1.1368201e-03 4.3945063e-05 4.3274795e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,20-29,"[9.8070252e-01 2.2126355e-03 1.0663566e-02 6.4515305e-04 1.0961667e-03
 8.7353808e-04 3.8064062e-03]",[0.9674864  0.00865261 0.01653543 0.00732546],[0.9876086 0.0123914],"[7.8179664e-06 6.7092548e-04 3.2041963e-02 5.7414657e-01 3.2929280e-01
 5.9501588e-02 4.0887105e-03 2.1590485e-04 3.3791079e-05]",0,White,20-39
