face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[5.8032670e-05 8.8258175e-06 9.4272179e-04 6.7438263e-01 3.2427526e-01
 3.2984282e-04 2.6713992e-06]",[3.4066965e-05 2.7807233e-05 9.9959415e-01 3.4396281e-04],[2.5326472e-05 9.9997467e-01],"[7.8855173e-06 3.2908398e-01 6.1965990e-01 5.0888341e-02 3.5656069e-04
 3.2068758e-06 1.0309296e-08 1.4621260e-09 9.6022752e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,Southeast Asian,Asian,Female,3-9,"[6.1426552e-05 1.6130267e-05 3.1730721e-03 3.3222851e-01 6.6302037e-01
 1.4958296e-03 4.6320501e-06]",[4.8303598e-05 3.6896108e-05 9.9926800e-01 6.4680434e-04],[7.6589444e-05 9.9992347e-01],"[1.8351329e-05 8.2244289e-01 1.7539766e-01 2.1249081e-03 1.6025557e-05
 1.7031319e-07 7.9540541e-10 1.9191586e-10 1.2910617e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,Southeast Asian,Asian,Female,10-19,"[2.5239345e-04 7.2187854e-06 8.4887715e-03 3.7106138e-01 6.1911452e-01
 1.0572408e-03 1.8464561e-05]",[8.1241982e-05 7.3023652e-06 9.9909174e-01 8.1973808e-04],[1.4577652e-05 9.9998540e-01],"[1.2832909e-05 2.4620362e-01 6.9599438e-01 5.7518326e-02 2.6938168e-04
 1.4229120e-06 3.2501644e-09 4.9748478e-10 2.3343709e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,10-19,"[7.2671384e-05 1.2584602e-06 8.0081396e-04 7.0386887e-01 2.9500455e-01
 2.4477887e-04 7.0539286e-06]",[3.5877038e-05 3.2468265e-06 9.9977583e-01 1.8507225e-04],[1.0930865e-05 9.9998909e-01],"[2.6396248e-07 3.2267075e-02 8.7077206e-01 9.6753925e-02 2.0574470e-04
 8.6693501e-07 8.7009111e-10 1.2625419e-10 5.4906574e-12]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,10-19,"[1.2086610e-03 7.2315338e-06 4.3407441e-03 7.6054054e-01 2.3313266e-01
 6.2054978e-04 1.4971038e-04]",[1.8776932e-03 1.0117351e-05 9.9660254e-01 1.5096276e-03],[2.903447e-05 9.999710e-01],"[8.6746604e-07 9.5867738e-02 8.7700176e-01 2.7060444e-02 6.8815323e-05
 3.3980359e-07 8.1984708e-10 1.2195296e-10 7.9071246e-12]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,10-19,"[7.6934652e-05 3.9313868e-06 2.1335112e-03 5.1459366e-01 4.8250777e-01
 6.7711290e-04 7.1562354e-06]",[2.4125713e-05 8.0403643e-06 9.9897861e-01 9.8926574e-04],[7.477368e-05 9.999252e-01],"[1.8068591e-05 3.5744679e-01 5.8157527e-01 6.0655478e-02 3.0217192e-04
 2.1812980e-06 7.7853679e-09 1.7295546e-09 8.2623297e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[4.8720220e-04 7.1341492e-06 1.9962799e-03 7.3322487e-01 2.6398689e-01
 2.7532305e-04 2.2340351e-05]",[2.4960536e-04 5.4418819e-05 9.9818021e-01 1.5157025e-03],[2.921025e-05 9.999708e-01],"[1.8230847e-07 3.7576899e-02 8.8580650e-01 7.6513939e-02 1.0227750e-04
 1.6178174e-07 1.5302731e-10 1.3854766e-11 5.1957923e-13]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,10-19,"[1.7156856e-04 9.8630699e-07 1.6830586e-03 7.0543939e-01 2.9248309e-01
 2.1433085e-04 7.6082711e-06]",[5.1102983e-05 1.8917902e-07 9.9988014e-01 6.8589783e-05],[0.0016495  0.99835044],"[1.2757986e-06 2.3271563e-02 8.2656503e-01 1.4939137e-01 7.6535140e-04
 5.3900344e-06 1.1809068e-08 2.7932048e-09 8.8210890e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,10-19,"[2.5495832e-04 2.2260242e-06 2.0413829e-03 5.0761002e-01 4.8976114e-01
 3.2353285e-04 6.8040081e-06]",[7.5844518e-04 4.0405457e-06 9.9901706e-01 2.2051996e-04],[5.0958846e-05 9.9994910e-01],"[1.0502005e-05 2.5775686e-01 6.8822926e-01 5.3723879e-02 2.7764207e-04
 1.8710925e-06 4.4507336e-09 6.5301026e-10 3.4837126e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,10-19,"[3.7445121e-03 6.5448435e-06 1.9562524e-02 6.7729127e-01 2.9830202e-01
 9.0046495e-04 1.9271308e-04]",[1.6721470e-02 4.0976236e-05 9.8114872e-01 2.0888676e-03],[1.02428516e-04 9.99897599e-01],"[9.8261571e-06 1.3458933e-01 7.6782691e-01 9.7026549e-02 5.4311880e-04
 4.2270322e-06 1.4315557e-08 2.4725524e-09 1.3131694e-10]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0010_face0.png,East Asian,Asian,Female,10-19,"[1.1771742e-04 4.7125745e-06 2.5489496e-03 5.5757213e-01 4.3872166e-01
 1.0228314e-03 1.1962551e-05]",[6.4409229e-05 1.9242393e-06 9.9881095e-01 1.1226869e-03],[7.3094474e-04 9.9926907e-01],"[2.0665289e-05 4.4586691e-01 5.3977638e-01 1.4209257e-02 1.2509391e-04
 1.6397607e-06 8.7391276e-09 2.4291045e-09 1.5771902e-10]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0011_face0.png,East Asian,Asian,Female,10-19,"[4.4780700e-05 6.5921568e-06 1.1589020e-03 5.6237948e-01 4.3568385e-01
 7.2497746e-04 1.3672748e-06]",[1.7554443e-05 3.2744806e-06 9.9989754e-01 8.1570855e-05],[0.00184949 0.99815047],"[3.8078291e-05 4.2842412e-01 5.4389274e-01 2.7430335e-02 2.1071182e-04
 3.9803290e-06 2.7915396e-08 7.1610735e-09 5.1197530e-10]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0012_face0.png,East Asian,Asian,Female,10-19,"[2.1054389e-04 2.1757073e-06 1.6548835e-03 6.8485445e-01 3.1284282e-01
 4.1916370e-04 1.5866315e-05]",[4.0607691e-05 4.6110785e-07 9.9989700e-01 6.1901424e-05],[3.4511767e-04 9.9965489e-01],"[1.3227479e-06 4.4343460e-02 8.6808777e-01 8.7156296e-02 4.0814414e-04
 2.9637674e-06 6.1199565e-09 1.1361394e-09 4.5079700e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0013_face0.png,East Asian,Asian,Female,10-19,"[2.2463566e-05 2.6841146e-06 2.0221149e-04 7.9297918e-01 2.0673199e-01
 6.0747585e-05 7.4739984e-07]",[9.6592621e-06 2.8929569e-05 9.9993604e-01 2.5350217e-05],[4.174870e-05 9.999582e-01],"[3.47114565e-06 1.22201540e-01 7.75328875e-01 1.02080956e-01
 3.82696453e-04 2.52596851e-06 4.83527218e-09 6.30012931e-10
 3.46247128e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0014_face0.png,East Asian,Asian,Female,10-19,"[9.23312618e-05 1.63553443e-06 4.23253688e-04 7.16012299e-01
 2.83349305e-01 1.19343335e-04 1.82183885e-06]",[7.5620053e-05 4.4196604e-06 9.9981010e-01 1.0982362e-04],[2.5894342e-06 9.9999744e-01],"[4.1023791e-06 2.6890877e-01 6.6704631e-01 6.3805312e-02 2.3421657e-04
 1.3540117e-06 2.1501110e-09 2.4434810e-10 1.3056001e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0015_face0.png,Southeast Asian,Asian,Female,3-9,"[9.1004607e-05 1.2776106e-05 9.1335829e-03 1.2942076e-01 8.5725176e-01
 4.0829107e-03 7.2071962e-06]",[3.4374163e-05 1.8324134e-05 9.9580699e-01 4.1403417e-03],[1.3166468e-05 9.9998677e-01],"[1.3302039e-05 7.0641458e-01 2.8841498e-01 5.1235361e-03 3.3306107e-05
 2.4723334e-07 6.2015426e-10 1.3168572e-10 6.1030963e-12]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0016_face0.png,East Asian,Asian,Female,10-19,"[2.0022057e-04 6.9151599e-07 8.6776895e-04 7.9082829e-01 2.0799339e-01
 9.7335120e-05 1.2283158e-05]",[1.3690107e-04 2.4048367e-07 9.9981618e-01 4.6715046e-05],[1.4252967e-04 9.9985743e-01],"[2.2429525e-07 8.5686306e-03 8.1418890e-01 1.7645465e-01 7.8464171e-04
 2.9442076e-06 4.5536224e-09 6.2510247e-10 1.8003097e-11]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0017_face0.png,East Asian,Asian,Female,10-19,"[3.4166095e-04 3.9311021e-06 6.2135560e-03 5.1504892e-01 4.7758326e-01
 7.9164305e-04 1.7105913e-05]",[2.8975387e-04 3.5025553e-06 9.9907827e-01 6.2851136e-04],[8.8608176e-05 9.9991137e-01],"[8.4994366e-07 7.2775923e-02 8.5402018e-01 7.2994344e-02 2.0780358e-04
 8.1820178e-07 1.4086163e-09 2.0637081e-10 7.4326404e-12]"
/scratch/project_462000771/mengting/projects/bias/sana/fair_selected_faces/selected_faces/0-9/female/asian/0018_face0.png,East Asian,Asian,Female,10-19,"[6.1287329e-04 8.4640105e-06 4.4888766e-03 5.4283440e-01 4.5141065e-01
 5.9864775e-04 4.6024015e-05]",[9.4525248e-04 7.9763144e-05 9.9624646e-01 2.7285027e-03],[2.0095741e-04 9.9979907e-01],"[7.6118868e-06 1.8713465e-01 7.6297981e-01 4.9804434e-02 7.3325929e-05
 2.3348454e-07 5.7938815e-10 1.1698613e-10 6.7794021e-12]"
