face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0000_face0.png,White,White,Male,20-29,"[9.9167234e-01 1.5588407e-04 1.5322294e-03 8.8044362e-06 1.7622498e-05
 1.0021569e-04 6.5128370e-03]",[9.9974352e-01 1.4467577e-04 4.7175537e-05 6.4690896e-05],[0.9385731  0.06142689],"[3.7223947e-07 5.8678779e-05 5.0034650e-02 7.0260739e-01 2.2202469e-01
 2.4266006e-02 9.5175626e-04 5.3506315e-05 2.8315553e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0001_face0.png,White,White,Male,20-29,"[9.8074538e-01 7.1032591e-06 8.7338139e-04 1.6541082e-02 1.6142881e-03
 4.2904165e-05 1.7594681e-04]",[9.9212807e-01 5.0511291e-05 7.6827132e-03 1.3867908e-04],[9.9999875e-01 1.2896634e-06],"[3.2542789e-07 6.0723855e-06 4.2223688e-03 5.6587851e-01 4.0450880e-01
 2.4648730e-02 7.2904758e-04 6.1102110e-06 1.0259320e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0002_face0.png,Indian,Asian,Male,20-29,"[0.01004301 0.06578217 0.22017187 0.05322437 0.20319521 0.42377204
 0.02381135]",[0.03770571 0.34256905 0.46551225 0.154213  ],[9.9965614e-01 3.4387657e-04],"[4.6523874e-07 2.0607538e-05 9.0653989e-03 7.1554178e-01 2.6594570e-01
 9.3430337e-03 7.7890356e-05 5.0107087e-06 1.5002163e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0003_face0.png,White,White,Male,20-29,"[7.6324022e-01 3.2265595e-04 1.9653032e-02 7.8252187e-06 8.0067439e-05
 1.9999498e-03 2.1469624e-01]",[9.5364237e-01 1.3585537e-03 7.1961520e-04 4.4279449e-02],[9.9999779e-01 2.2520449e-06],"[1.8479536e-08 2.6102286e-06 4.4897795e-03 5.2206993e-01 4.3736187e-01
 3.5781890e-02 2.9070131e-04 3.1135874e-06 9.8063566e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0004_face0.png,Black,Black,Male,20-29,"[7.8208086e-06 9.9224877e-01 2.7077473e-04 1.1936376e-05 5.5341428e-04
 6.8993974e-03 7.8609864e-06]",[3.02231820e-05 9.89125371e-01 4.18013486e-04 1.04264105e-02],[9.999216e-01 7.838428e-05],"[4.5475119e-08 1.2785368e-05 2.8168224e-02 6.8566328e-01 2.7585956e-01
 1.0130884e-02 1.6074080e-04 4.2056249e-06 2.1526708e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0005_face0.png,White,White,Female,20-29,"[3.9563644e-01 2.6282074e-04 3.5922125e-01 1.4740451e-01 2.8890625e-02
 4.7063380e-03 6.3877977e-02]",[0.9194405  0.00950699 0.05941211 0.01164044],[0.00117852 0.9988215 ],"[2.8944781e-08 2.7143369e-05 7.3807180e-02 7.4322432e-01 1.7908810e-01
 3.8372790e-03 1.5445330e-05 4.6518318e-07 1.1595231e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0006_face0.png,White,White,Female,20-29,"[9.7883612e-01 7.2178345e-06 1.0672959e-02 9.1867679e-04 2.9253925e-04
 1.7006688e-04 9.1023939e-03]",[9.9924701e-01 1.9024377e-05 5.7816564e-04 1.5574507e-04],[6.880397e-04 9.993119e-01],"[1.8364581e-07 2.9857445e-04 1.2922251e-01 7.7721471e-01 9.0168670e-02
 3.0823478e-03 1.2723315e-05 3.2070915e-07 2.2062657e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0007_face0.png,East Asian,Asian,Female,20-29,"[1.0751464e-04 2.5944786e-05 1.4056518e-03 7.9802030e-01 1.9865429e-01
 1.7438808e-03 4.2384228e-05]",[4.0399731e-04 1.7423897e-04 9.9585807e-01 3.5636998e-03],[0.00175946 0.99824053],"[3.8875594e-08 9.4016532e-06 2.9906081e-02 6.7574584e-01 2.7898160e-01
 1.5248128e-02 1.0239515e-04 6.3519624e-06 8.4675989e-08]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0008_face0.png,Latino_Hispanic,White,Male,20-29,"[2.79581457e-01 2.87945033e-03 5.49020231e-01 1.83420634e-04
 8.73646466e-04 1.54246185e-02 1.52037218e-01]",[0.85420257 0.00174182 0.01055829 0.13349728],[9.9999171e-01 8.3199575e-06],"[6.0612173e-08 2.0055475e-06 3.4007130e-03 5.3298151e-01 4.4548032e-01
 1.8038854e-02 9.5458206e-05 1.0679275e-06 2.3791776e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_person/person_0009_face0.png,Middle Eastern,Indian,Male,30-39,"[1.3518031e-01 5.9735677e-03 2.8389412e-01 2.0681473e-04 1.2355166e-03
 1.1077295e-01 4.6273670e-01]",[0.29552108 0.00170821 0.00338108 0.6993897 ],[9.9998838e-01 1.1638927e-05],"[1.7924498e-06 2.9555644e-05 4.2639452e-04 5.9351671e-02 7.1546710e-01
 2.2284018e-01 1.8730790e-03 1.0067566e-05 1.9175559e-07]",1,Others,20-39
