face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Male,20-29,"[8.8987046e-01 2.9569455e-05 2.7766621e-02 1.8620209e-05 1.3283388e-04
 1.6754575e-03 8.0506496e-02]",[8.0286753e-01 7.8196888e-04 5.9305541e-03 1.9041991e-01],[9.9999356e-01 6.4508390e-06],"[3.5741701e-07 4.2445150e-05 2.1711389e-02 7.0535326e-01 2.5533405e-01
 1.7388942e-02 1.6588996e-04 3.5454243e-06 7.1215446e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,Asian,Male,30-39,"[6.8740499e-01 3.9353766e-03 2.0591566e-01 6.4307323e-04 1.2580745e-02
 8.5247472e-02 4.2726602e-03]",[0.23801203 0.01445661 0.48341557 0.26411578],[9.9999917e-01 8.3913778e-07],"[4.7897669e-07 5.3760770e-05 1.2928023e-02 3.0536118e-01 5.5372059e-01
 1.2417341e-01 3.7018948e-03 5.9614282e-05 9.8966609e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,Indian,Indian,Male,40-49,"[8.5858196e-02 1.5979004e-01 1.2872776e-01 4.0473178e-04 1.4297956e-02
 5.6480920e-01 4.6112161e-02]",[0.13440385 0.07304165 0.04568693 0.7468676 ],[9.9999470e-01 5.2442733e-06],"[1.5094457e-06 1.1487283e-05 5.2212237e-04 2.2956314e-02 2.3552562e-01
 5.1112181e-01 2.2080180e-01 8.9008203e-03 1.5845014e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,30-39,"[9.2983818e-01 1.9078389e-04 6.0090806e-02 6.4185937e-04 1.1028566e-03
 3.8338718e-03 4.3016141e-03]",[9.8469633e-01 1.8660743e-04 6.3184672e-03 8.7985583e-03],[0.8196466  0.18035336],"[1.2515736e-07 6.2166055e-06 3.2272812e-03 2.7497014e-01 5.5747449e-01
 1.5929265e-01 4.9081906e-03 1.1335768e-04 7.4972882e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Female,20-29,"[9.9347425e-01 1.5672453e-04 3.2128452e-03 3.3209748e-05 1.2663873e-04
 3.7993910e-04 2.6164057e-03]",[9.6459788e-01 3.0480241e-03 1.5256887e-04 3.2201525e-02],[0.3247612  0.67523885],"[6.9716981e-07 2.0404604e-04 1.7486185e-02 6.1397296e-01 3.3483744e-01
 3.2961443e-02 5.2221288e-04 1.1986779e-05 3.0764038e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,Middle Eastern,Indian,Male,20-29,"[6.6837072e-02 4.2137112e-03 2.2249660e-01 1.3766521e-04 3.6251398e-03
 1.9150183e-02 6.8353963e-01]",[0.28243747 0.00295503 0.03476826 0.67983925],[9.999993e-01 6.892753e-07],"[1.69374044e-08 1.71319516e-06 3.43973166e-03 5.64218581e-01
 4.20401096e-01 1.18581215e-02 7.97522443e-05 1.01138835e-06
 1.59537628e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,White,White,Male,20-29,"[8.8639599e-01 2.4488577e-04 7.7104039e-02 4.1539787e-04 1.9025469e-03
 4.5107109e-03 2.9426355e-02]",[0.7833497  0.00156446 0.08614609 0.1289397 ],[9.9979234e-01 2.0765417e-04],"[8.7308379e-08 1.8262408e-05 1.1642309e-02 5.3080791e-01 4.0588680e-01
 5.0590724e-02 1.0396398e-03 1.3432366e-05 7.5155549e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,30-39,"[5.4199582e-01 6.1913230e-03 1.7151445e-01 3.1295617e-04 4.9725110e-03
 1.5718807e-02 2.5929409e-01]",[0.8766266  0.02357753 0.0186375  0.0811583 ],[9.999994e-01 5.807334e-07],"[1.90844567e-05 1.18178417e-04 5.54226711e-03 1.22818604e-01
 4.43431020e-01 3.58996868e-01 6.54201284e-02 3.61529319e-03
 3.85889434e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,Indian,Male,20-29,"[0.5222841  0.00351414 0.20517628 0.00356059 0.02588131 0.22345138
 0.01613228]",[0.07033621 0.01558634 0.25556818 0.65850925],[9.9999684e-01 3.1262787e-06],"[2.0956939e-08 6.9724476e-05 1.3942784e-01 8.0002981e-01 5.9592437e-02
 8.7513885e-04 4.8569391e-06 1.4311857e-07 2.4616456e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,White,White,Female,20-29,"[9.9955350e-01 3.7782188e-06 3.4146794e-04 3.0526637e-05 8.4125822e-06
 3.6015931e-06 5.8747268e-05]",[9.9483865e-01 2.3673759e-03 1.8305172e-03 9.6347538e-04],[1.3262426e-04 9.9986732e-01],"[3.1185042e-08 9.6406718e-04 2.3077993e-01 7.5217378e-01 1.5927084e-02
 1.5483008e-04 2.7163952e-07 3.2369765e-09 3.6328260e-10]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0010_face0.png,White,White,Male,30-39,"[8.8805968e-01 6.2740335e-05 7.8379186e-03 4.8568686e-06 5.1265721e-05
 2.5934869e-04 1.0372414e-01]",[9.7634876e-01 8.1135426e-05 2.3222815e-03 2.1247843e-02],[9.9996716e-01 3.2824013e-05],"[3.1951723e-07 1.2606156e-05 2.4508229e-03 4.1352028e-01 5.4278737e-01
 4.1002158e-02 2.2473000e-04 1.6281855e-06 5.8937967e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0011_face0.png,White,White,Male,20-29,"[9.5862174e-01 1.8516874e-05 1.3133021e-02 1.0379039e-04 2.7828594e-04
 8.1379159e-04 2.7030852e-02]",[0.66356367 0.00279927 0.10081609 0.23282093],[0.9854155  0.01458447],"[4.6982858e-08 1.5487727e-05 1.9840922e-02 7.6866317e-01 2.0536156e-01
 6.0828193e-03 3.5557638e-05 3.9639616e-07 3.1914947e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0012_face0.png,White,White,Male,30-39,"[7.1218967e-01 4.5973516e-06 1.9034252e-02 3.2149428e-06 7.0627168e-05
 2.2185134e-02 2.4651250e-01]",[7.5394714e-01 2.3452520e-04 1.7877101e-03 2.4403068e-01],[0.98318017 0.01681983],"[1.85128339e-08 4.53536859e-06 3.77563317e-03 2.61483788e-01
 6.12646639e-01 1.20532610e-01 1.54569501e-03 1.07369715e-05
 3.02821888e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0013_face0.png,Southeast Asian,Asian,Female,10-19,"[2.0219006e-03 3.3399681e-04 7.9204656e-02 3.8469619e-01 5.1978755e-01
 1.3936676e-02 1.8970391e-05]",[0.00448942 0.00357341 0.9375117  0.0544255 ],[0.04212879 0.95787126],"[9.6914206e-08 7.1428758e-03 6.2762785e-01 3.6245695e-01 2.7633365e-03
 8.8134830e-06 1.3427752e-08 5.4430760e-10 1.8227961e-11]",2,Asian,10-19
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0014_face0.png,Middle Eastern,White,Male,30-39,"[3.3852726e-02 1.4684846e-04 2.4192784e-02 4.7521080e-06 6.8839763e-05
 1.7828175e-03 9.3995124e-01]",[0.653435   0.00609127 0.00271917 0.33775458],[9.9999690e-01 3.1126194e-06],"[5.8799092e-06 2.5647898e-05 2.3847762e-03 7.0636839e-02 5.8721739e-01
 3.2159147e-01 1.7711062e-02 4.2014202e-04 6.7358806e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0015_face0.png,White,White,Male,50-59,"[0.9318183  0.00200045 0.01634723 0.00194433 0.01321032 0.02728046
 0.00739889]",[0.51751333 0.00468546 0.07766062 0.4001406 ],[0.6042522  0.39574778],"[4.1698208e-06 3.2604035e-05 3.7535909e-04 1.2140899e-02 6.8946183e-02
 3.5054016e-01 3.5231918e-01 1.4614549e-01 6.9495909e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0016_face0.png,White,White,Male,40-49,"[8.5349143e-01 2.9212333e-06 3.9652861e-03 2.5926507e-05 2.0552301e-04
 4.9235567e-04 1.4181662e-01]",[9.9899858e-01 1.8524612e-05 2.6134422e-04 7.2156306e-04],[0.9812472 0.0187528],"[2.0916186e-06 1.6855207e-05 2.2868633e-03 4.4352878e-02 2.3592566e-01
 5.2826560e-01 1.8178429e-01 7.0714233e-03 2.9437328e-04]",2,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0017_face0.png,White,White,Male,20-29,"[9.9183917e-01 4.4187909e-06 5.9402701e-03 2.2547288e-06 3.6175625e-05
 2.4354822e-04 1.9341909e-03]",[9.8465604e-01 2.3606977e-05 8.3375833e-04 1.4486493e-02],[9.9978316e-01 2.1686775e-04],"[2.7485910e-08 2.8541535e-05 2.9019684e-02 8.1693804e-01 1.5064926e-01
 3.3495040e-03 1.4786566e-05 1.6317331e-07 5.2207789e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0018_face0.png,Indian,Indian,Male,60-69,"[1.1771605e-02 2.1862997e-01 5.5151220e-02 2.2604324e-04 1.5297936e-02
 6.9636881e-01 2.5544502e-03]",[0.03345105 0.16201895 0.07515559 0.72937447],[9.999980e-01 2.071017e-06],"[1.02044887e-05 5.69601252e-05 4.30684013e-04 1.04045263e-03
 1.02557689e-02 1.20563805e-01 4.01241869e-01 4.42997545e-01
 2.34026257e-02]",0,Others,60+
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0019_face0.png,Indian,Black,Male,50-59,"[0.0659186  0.2216826  0.09067141 0.00207292 0.17250742 0.44428736
 0.00285965]",[0.09555005 0.6975918  0.06503893 0.1418193 ],[9.999881e-01 1.189775e-05],"[2.0825984e-05 1.3981665e-04 6.3865166e-04 1.6596843e-03 1.4229563e-02
 1.5014029e-01 5.0509489e-01 3.1226909e-01 1.5807211e-02]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0020_face0.png,White,White,Female,20-29,"[5.0360477e-01 2.5393863e-04 1.5577382e-01 9.8434032e-04 4.5913862e-04
 2.0727672e-02 3.1819630e-01]",[9.8805815e-01 3.4403510e-04 4.9347896e-04 1.1104350e-02],[0.00241358 0.9975864 ],"[1.37553915e-08 8.60810324e-05 1.35378867e-01 8.13711464e-01
 5.02813645e-02 5.40611858e-04 1.61577077e-06 4.90204322e-08
 2.93248137e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0021_face0.png,White,White,Female,10-19,"[9.9656153e-01 1.6109023e-05 7.7754969e-04 3.0658748e-06 6.8003706e-06
 3.0648684e-05 2.6043185e-03]",[9.8580253e-01 1.6738198e-03 7.5533357e-04 1.1768234e-02],[0.12494173 0.8750583 ],"[1.23942655e-05 3.85545827e-02 4.85945851e-01 4.22622681e-01
 5.01914732e-02 2.63621332e-03 3.53740870e-05 1.16138074e-06
 2.69558655e-07]",2,White,10-19
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0022_face0.png,White,White,Male,20-29,"[7.6456994e-01 3.1772783e-04 1.5608530e-01 7.7180943e-04 1.4908219e-03
 9.5950672e-03 6.7169257e-02]",[9.5780659e-01 3.7789182e-04 2.5136502e-02 1.6679022e-02],[0.8698639  0.13013603],"[1.3735354e-08 3.5778319e-06 2.0647254e-02 7.5811177e-01 2.1406601e-01
 7.1058795e-03 6.4424086e-05 1.0433713e-06 3.3079594e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0023_face0.png,Middle Eastern,Indian,Male,20-29,"[0.24992023 0.00233577 0.20924944 0.001779   0.0091705  0.02410962
 0.5034354 ]",[0.3353724  0.00307484 0.16879417 0.4927586 ],[0.6250624  0.37493765],"[8.07380957e-07 1.04125866e-04 8.09660256e-02 7.53454208e-01
 1.56207934e-01 9.03530233e-03 2.13430816e-04 1.63286695e-05
 1.84178271e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0024_face0.png,White,White,Male,20-29,"[9.9151009e-01 2.7275845e-04 7.5730477e-03 3.5919169e-05 2.0052936e-04
 1.6926066e-04 2.3838830e-04]",[0.9445119  0.00166579 0.0042377  0.04958467],[9.9995255e-01 4.7445497e-05],"[1.8203549e-07 2.6680900e-05 1.3555522e-02 5.7868493e-01 3.7521139e-01
 3.1840060e-02 6.7553506e-04 5.4651573e-06 2.1444195e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_sad/sad_person_0025_face0.png,White,White,Female,20-29,"[9.9902731e-01 7.0775178e-07 6.1210420e-04 5.6464921e-07 1.4369494e-06
 1.0337949e-05 3.4741542e-04]",[9.9870980e-01 2.2518514e-05 1.9270193e-04 1.0749090e-03],[3.8769294e-04 9.9961227e-01],"[6.5387006e-08 9.2499096e-05 2.5793849e-02 6.7193943e-01 2.8980875e-01
 1.2284574e-02 7.9989637e-05 8.3813501e-07 2.7493002e-08]",1,White,20-39
