face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0000_face0.png,Southeast Asian,Asian,Female,20-29,"[6.2670122e-05 3.2032502e-05 5.4046568e-03 2.6221448e-01 7.2443241e-01
 7.8387903e-03 1.4925176e-05]",[4.0684765e-05 2.1419690e-04 9.6627319e-01 3.3471882e-02],[0.00174969 0.9982503 ],"[5.9496049e-08 1.7137547e-03 4.7664350e-01 5.1143259e-01 1.0150944e-02
 5.9149381e-05 8.2030745e-08 4.4041522e-09 5.5665413e-11]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0001_face0.png,Latino_Hispanic,Indian,Male,30-39,"[1.8582021e-01 1.9671382e-04 5.0931531e-01 5.0572265e-04 9.7662315e-04
 3.9761234e-02 2.6342419e-01]",[0.42609417 0.00154022 0.00776356 0.56460196],[9.9999887e-01 1.1140970e-06],"[2.0288257e-06 1.5580927e-05 9.9269475e-04 1.3154809e-01 7.3922938e-01
 1.2694402e-01 1.2632896e-03 4.8944275e-06 3.4167464e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0002_face0.png,Latino_Hispanic,Indian,Male,30-39,"[1.5026708e-01 3.4898942e-04 4.9188712e-01 7.0634705e-04 1.8805127e-03
 8.9046896e-02 2.6586306e-01]",[2.1388941e-01 7.6160161e-04 6.9959490e-03 7.7835304e-01],[9.9999452e-01 5.4849174e-06],"[2.1368185e-06 3.2213698e-05 1.1202763e-03 1.7512563e-01 7.4027705e-01
 8.2839854e-02 6.0024287e-04 2.5419213e-06 2.5272659e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0003_face0.png,Black,Black,Male,20-29,"[1.5260624e-06 9.9464720e-01 6.0423674e-05 2.2774957e-06 7.1874805e-05
 5.2163741e-03 3.6212555e-07]",[6.0966431e-07 9.9939311e-01 5.3509343e-06 6.0091901e-04],[9.992611e-01 7.389321e-04],"[1.8914353e-07 1.5237840e-04 1.0261620e-01 7.7079362e-01 1.2134380e-01
 5.0143795e-03 7.8690100e-05 6.4612328e-07 3.1909629e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0004_face0.png,Latino_Hispanic,Indian,Male,30-39,"[0.00519355 0.00441067 0.49207017 0.0657618  0.29958305 0.1111823
 0.02179852]",[0.0062057  0.00231184 0.42905754 0.5624249 ],[9.9999988e-01 1.4852715e-07],"[1.1060874e-06 1.4297785e-05 7.4738223e-04 1.3609992e-01 6.7797834e-01
 1.8098828e-01 4.1274768e-03 4.2801210e-05 3.8894251e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0005_face0.png,Latino_Hispanic,Indian,Male,30-39,"[1.8252648e-01 3.4623625e-04 4.7711182e-01 1.2484093e-03 2.3604468e-03
 3.5749197e-02 3.0065739e-01]",[0.33560976 0.00327146 0.03691761 0.6242012 ],[9.9997979e-01 2.0163567e-05],"[1.7413233e-06 2.9475279e-05 2.2941867e-03 2.4396399e-01 6.9846249e-01
 5.4812353e-02 4.3279957e-04 2.8902750e-06 3.8762927e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0006_face0.png,Black,Black,Male,20-29,"[3.5025235e-07 9.9872315e-01 4.0226558e-05 2.6561474e-07 1.3496363e-05
 1.2222250e-03 3.6532842e-07]",[2.190673e-07 9.996879e-01 2.390660e-06 3.095188e-04],[9.999150e-01 8.494612e-05],"[1.6726348e-08 1.6601991e-06 5.2024103e-03 6.3619167e-01 3.4417298e-01
 1.4310250e-02 1.2052746e-04 4.7851557e-07 1.4856277e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0007_face0.png,Latino_Hispanic,White,Male,30-39,"[6.2619023e-02 2.0241748e-04 4.4551089e-01 2.0140216e-03 3.8468915e-03
 4.6538886e-02 4.3926781e-01]",[0.5035284  0.0010609  0.01835822 0.47705248],[9.9999905e-01 9.7374459e-07],"[2.8826432e-06 1.1358538e-04 5.0128191e-03 4.2287099e-01 5.4253364e-01
 2.9332103e-02 1.3269139e-04 1.2034880e-06 1.1936065e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0008_face0.png,Latino_Hispanic,Indian,Male,40-49,"[3.4059741e-02 2.8887464e-04 8.2019901e-01 2.2255797e-03 1.0887665e-02
 1.0534284e-01 2.6996316e-02]",[1.2754986e-01 2.1865423e-04 6.4396381e-02 8.0783510e-01],[9.9999946e-01 5.0946875e-07],"[4.5436486e-06 2.4358247e-05 5.2076316e-04 8.6037833e-03 3.5067308e-01
 5.9502566e-01 4.4894330e-02 2.5261313e-04 8.7763840e-07]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_person/person_0009_face0.png,Middle Eastern,White,Male,20-29,"[1.5800634e-01 2.2183929e-04 3.9211944e-01 2.2804132e-03 4.4621387e-03
 4.8058510e-02 3.9485130e-01]",[0.58670545 0.00140335 0.04902034 0.36287087],[9.999558e-01 4.419758e-05],"[9.8558951e-07 2.6851170e-05 5.9597348e-03 6.5453184e-01 3.3270571e-01
 6.7416863e-03 3.2718941e-05 4.6413598e-07 9.6772910e-09]",1,Others,20-39
