face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final,attractiveness
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Female,20-29,"[9.7387838e-01 5.4800428e-05 4.8513804e-03 9.6170967e-03 1.0027942e-02
 1.5305079e-04 1.4172432e-03]",[9.9665487e-01 1.7289138e-04 2.6675260e-03 5.0475367e-04],[0.03502128 0.96497875],"[1.2238671e-05 3.0667873e-03 8.1633374e-02 3.8328093e-01 3.2779706e-01
 1.8416253e-01 1.8362530e-02 1.1782675e-03 5.0633680e-04]",White,20-39,
/scratch/project_462001220/mengting/projects_771/bias/Wan2.1/prompt2/complete_selected_faces/detected_unhappy/0001_face0.png,Black,Black,Male,40-49,"[8.3703097e-05 9.0332353e-01 1.6859202e-03 2.2233779e-05 5.8531325e-04
 9.4194114e-02 1.0511899e-04]",[5.3817374e-05 9.4374764e-01 2.1716198e-03 5.4026861e-02],[9.9990833e-01 9.1697024e-05],"[6.0829598e-06 2.8291466e-05 1.8941528e-04 1.2945404e-02 2.3164971e-01
 5.4614758e-01 1.8422970e-01 2.2512019e-02 2.2917921e-03]",Black,40-59,1.0
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,White,Male,20-29,"[4.3520966e-01 1.6682976e-03 2.3172510e-01 1.8569926e-04 5.9031538e-04
 3.0615362e-03 3.2755947e-01]",[0.9953172  0.00126398 0.00127751 0.00214135],[9.9999988e-01 1.7136888e-07],"[2.0075655e-08 7.4972047e-07 1.3088915e-03 6.7460734e-01 3.2063866e-01
 3.4276817e-03 1.6584327e-05 1.3825516e-07 1.6848732e-09]",White,20-39,
/scratch/project_462001220/mengting/projects_771/bias/Wan2.1/prompt2/complete_selected_faces/detected_unhappy/0003_face0.png,Black,Black,Male,30-39,"[1.06219695e-05 9.99750197e-01 1.88189486e-04 9.33705792e-07
 9.62175545e-06 3.20178406e-05 8.40033863e-06]",[2.4049834e-05 9.9979830e-01 6.0002265e-05 1.1759197e-04],[9.9999535e-01 4.6857658e-06],"[4.3606005e-07 9.2577075e-06 5.5875670e-04 2.0791018e-01 6.2872720e-01
 1.5685807e-01 5.8787782e-03 5.4181492e-05 3.1724935e-06]",Black,20-39,0.0
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,30-39,"[9.9546599e-01 6.7783491e-05 2.1677308e-03 1.2856114e-04 1.5251002e-04
 1.3089002e-04 1.8865288e-03]",[9.9932480e-01 3.1421296e-05 4.7808621e-04 1.6572006e-04],[9.998073e-01 1.927326e-04],"[4.4078075e-07 1.5245916e-05 3.3243373e-03 3.8481957e-01 5.5770409e-01
 5.1997256e-02 2.1093958e-03 2.7826256e-05 1.8483697e-06]",White,20-39,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Male,30-39,"[8.8319415e-01 5.8826164e-04 2.9710598e-02 3.4534394e-05 1.3503640e-04
 1.6178605e-03 8.4719643e-02]",[9.8544794e-01 3.1657023e-03 3.9153706e-04 1.0994912e-02],[0.88801265 0.11198734],"[1.8176894e-06 1.4338363e-05 1.6576583e-03 1.0715904e-01 4.3446252e-01
 3.2288769e-01 1.2077131e-01 1.1679317e-02 1.3663113e-03]",White,20-39,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,White,White,Female,30-39,"[0.6710376  0.00068998 0.1287867  0.06916274 0.06622185 0.00268178
 0.06141942]",[0.72958076 0.02304121 0.23203595 0.01534204],[0.02914297 0.970857  ],"[5.1853118e-07 2.7387796e-05 4.6716821e-03 2.4460745e-01 6.1014342e-01
 1.2731317e-01 1.2779464e-02 4.4779692e-04 9.1433922e-06]",White,20-39,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,White,Male,30-39,"[9.71813858e-01 1.04590918e-05 1.04003763e-02 1.56488107e-03
 6.80346333e-04 1.64886893e-04 1.53652225e-02]",[9.9006087e-01 2.0539394e-05 9.7668096e-03 1.5178884e-04],[0.9983669  0.00163309],"[2.4714704e-05 3.3815097e-05 5.2230794e-04 5.6591507e-02 6.3067067e-01
 3.0158478e-01 1.0310101e-02 2.5622960e-04 5.7521961e-06]",White,20-39,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,White,Male,30-39,"[8.6929184e-01 6.6811533e-04 5.1038884e-02 2.1145423e-04 3.4801397e-04
 2.3183322e-03 7.6123416e-02]",[0.9862925  0.00137768 0.00703593 0.0052939 ],[9.9999261e-01 7.4176414e-06],"[9.4896950e-07 4.1551280e-06 5.7368179e-05 2.1174802e-02 5.0714231e-01
 4.5517543e-01 1.6309120e-02 1.3442666e-04 1.4467229e-06]",White,20-39,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,Latino_Hispanic,White,Female,40-49,"[1.7732041e-01 1.1463338e-04 5.0970674e-01 1.2490979e-02 1.2583500e-02
 1.9466665e-02 2.6831704e-01]",[9.7121793e-01 4.2935755e-04 8.5988371e-03 1.9753855e-02],[0.00176295 0.998237  ],"[2.6341818e-06 5.0347167e-05 3.5632795e-03 5.3520042e-02 3.6677375e-01
 4.2497534e-01 1.3749149e-01 1.3035860e-02 5.8727915e-04]",Others,40-59,
/scratch/project_462001220/mengting/projects_771/bias/Wan2.1/prompt2/complete_selected_faces/detected_unhappy/0010_face0.png,East Asian,Asian,Female,20-29,"[0.3352085  0.00087175 0.01330134 0.5345788  0.10176017 0.00361211
 0.01066725]",[0.39338648 0.00380729 0.57368267 0.02912357],[0.14383082 0.85616916],"[1.00732934e-04 3.06402449e-03 3.87559980e-02 7.61555374e-01
 1.35732025e-01 4.37538326e-02 7.77773792e-03 4.61330637e-03
 4.64702956e-03]",Asian,20-39,0.0
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0011_face0.png,Latino_Hispanic,Indian,Male,40-49,"[0.18968637 0.01534195 0.51201093 0.00695164 0.01742964 0.12271211
 0.13586731]",[0.26670867 0.00661205 0.21527113 0.51140815],[9.999519e-01 4.810200e-05],"[1.0410298e-04 1.7650783e-04 6.1657105e-04 5.3903386e-03 1.2784463e-01
 5.9579200e-01 2.6404423e-01 5.9315418e-03 1.0003406e-04]",Others,40-59,
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,Latino_Hispanic,White,Female,20-29,"[0.29645437 0.00079613 0.347561   0.11327931 0.15242234 0.00212058
 0.08736622]",[0.6130881  0.01137748 0.3389645  0.03656991],[0.24464677 0.7553532 ],"[4.5688653e-06 5.1977450e-04 7.5094305e-02 5.5668908e-01 2.8459650e-01
 7.2193459e-02 9.1124568e-03 1.6067106e-03 1.8313398e-04]",Others,20-39,
