face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[3.9962608e-05 5.6006293e-06 1.1317505e-03 5.7439011e-01 4.2336616e-01
 1.0626565e-03 3.8100293e-06]",[8.3422156e-06 4.4962903e-06 9.9959260e-01 3.9462777e-04],[3.336210e-04 9.996664e-01],"[1.7581148e-06 7.1214326e-02 8.3397371e-01 9.4446592e-02 3.6017830e-04
 3.4428551e-06 7.1894406e-09 1.3438314e-09 5.6421257e-11]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,Southeast Asian,Asian,Female,3-9,"[1.52547858e-04 1.51440554e-05 1.32668912e-02 2.35906571e-01
 7.26452827e-01 2.41923966e-02 1.36550725e-05]",[1.2625572e-04 2.3938897e-05 9.9208796e-01 7.7618198e-03],[1.983087e-04 9.998017e-01],"[1.4953605e-05 5.6567305e-01 4.1987365e-01 1.4339521e-02 9.7982360e-05
 8.2805497e-07 1.8049162e-09 3.5942951e-10 1.3044634e-11]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,10-19,"[3.60825106e-05 1.68965101e-07 1.61871605e-04 8.63961995e-01
 1.35721982e-01 1.14213086e-04 3.65286564e-06]",[1.0853227e-05 8.9078731e-07 9.9994469e-01 4.3558186e-05],[9.9476465e-06 9.9999005e-01],"[1.1556149e-05 1.6585033e-01 6.3798589e-01 1.9491541e-01 1.2181267e-03
 1.8724961e-05 3.6492722e-08 6.8551311e-09 2.9583522e-10]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,10-19,"[4.2622123e-05 4.0825111e-07 1.0511565e-03 7.6193893e-01 2.3568197e-01
 1.2813451e-03 3.5741423e-06]",[1.3144863e-05 1.3726591e-07 9.9969196e-01 2.9474153e-04],[8.0461724e-04 9.9919540e-01],"[1.2558714e-06 1.2448714e-01 8.3438182e-01 4.1018963e-02 1.1030953e-04
 5.9956477e-07 8.4318469e-10 1.9064289e-10 3.9219279e-12]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,Southeast Asian,Asian,Female,3-9,"[4.39108007e-05 1.19948045e-05 7.85079040e-03 2.25826502e-01
 7.57920265e-01 8.33869632e-03 7.81660674e-06]",[1.1919662e-05 4.4410504e-06 9.9830729e-01 1.6764200e-03],[0.04500343 0.9549965 ],"[9.0732632e-05 8.0687273e-01 1.9002606e-01 2.9533927e-03 5.5246841e-05
 1.8454418e-06 1.7650864e-08 5.5863945e-09 3.4556408e-10]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,Southeast Asian,Asian,Female,3-9,"[5.1988941e-04 3.7129517e-05 1.9612757e-02 2.6846719e-01 6.9891435e-01
 1.2421360e-02 2.7298738e-05]",[1.0808029e-03 1.3547654e-04 9.7690499e-01 2.1878731e-02],[0.0130792 0.9869208],"[9.3053013e-06 7.5277817e-01 2.4570175e-01 1.4949966e-03 1.5452360e-05
 3.7425301e-07 3.2292917e-09 8.8416796e-10 7.8429624e-11]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[6.1685270e-05 1.9021356e-06 9.8501844e-04 6.2208670e-01 3.7629926e-01
 5.5781991e-04 7.6255733e-06]",[1.2307146e-05 1.4812064e-06 9.9988794e-01 9.8194527e-05],[4.8251903e-05 9.9995178e-01],"[3.0949494e-05 4.5200559e-01 5.1615888e-01 3.1503350e-02 2.9436807e-04
 6.8752647e-06 2.6057224e-08 7.4551112e-09 4.5013399e-10]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,Southeast Asian,Asian,Male,3-9,"[6.8764311e-05 1.0645881e-04 2.8219080e-02 5.6503639e-02 8.7033010e-01
 4.4753943e-02 1.8007582e-05]",[4.4499022e-05 1.3920560e-05 9.8885858e-01 1.1082972e-02],[0.8403059  0.15969406],"[2.4779494e-05 7.1832287e-01 2.8090909e-01 7.2720792e-04 1.5420701e-05
 6.1960452e-07 8.8736511e-09 2.2972890e-09 1.3671161e-10]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,Southeast Asian,Asian,Female,3-9,"[9.9949502e-05 2.0753425e-05 1.4150813e-02 2.7713427e-01 6.9866133e-01
 9.9245282e-03 8.3764107e-06]",[6.8800902e-05 6.6203909e-05 9.8843199e-01 1.1433034e-02],[0.02011603 0.9798839 ],"[4.8066590e-06 5.1099056e-01 4.8419073e-01 4.7988044e-03 1.4891324e-05
 1.3655185e-07 4.0043330e-10 1.0663542e-10 4.5672251e-12]"
/scratch/project_462000771/mengting/projects/bias/Qwen/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,3-9,"[6.8931418e-05 6.8517165e-06 1.5481892e-03 7.2785968e-01 2.6818219e-01
 2.3255516e-03 8.6785221e-06]",[5.7639231e-06 1.9597708e-06 9.9886644e-01 1.1258090e-03],[0.00612379 0.99387616],"[2.5804600e-04 6.9454223e-01 2.8602597e-01 1.8771822e-02 3.9152260e-04
 1.0258702e-05 1.3187126e-07 4.0673072e-08 2.2438089e-09]"
