face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,Latino_Hispanic,White,Female,20-29,"[0.11074987 0.01130218 0.6384374  0.08779655 0.09368213 0.04968961
 0.00834233]",[0.59298295 0.01376982 0.309277   0.08397027],[0.00609498 0.993905  ],"[2.2628878e-07 6.4338357e-03 4.3543401e-01 5.5134410e-01 6.7647398e-03
 2.3041739e-05 8.0280415e-08 5.5315246e-09 2.9260314e-10]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,Southeast Asian,Asian,Male,20-29,"[0.03651431 0.00072776 0.14022206 0.18880872 0.3507149  0.28021115
 0.00280116]",[0.01176995 0.00125411 0.91323435 0.07374154],[0.9973867  0.00261333],"[2.8267053e-08 3.1249296e-05 5.2142512e-02 8.5762006e-01 8.7853141e-02
 2.3335677e-03 1.8437657e-05 9.8836267e-07 4.6919418e-08]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,East Asian,Asian,Female,10-19,"[1.1262851e-02 3.8479271e-04 3.9728824e-02 7.7028358e-01 1.7515901e-01
 2.9603641e-03 2.2061952e-04]",[4.8490521e-02 2.2205568e-04 9.4968355e-01 1.6038353e-03],[1.8189498e-04 9.9981809e-01],"[5.5206726e-08 4.9146321e-03 5.2379817e-01 4.6695885e-01 4.3074694e-03
 2.0786532e-05 4.5777455e-08 2.5445082e-09 1.2246633e-10]",1,Asian,10-19
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,Southeast Asian,Asian,Male,20-29,"[0.02081299 0.00519232 0.20109607 0.24613622 0.40469092 0.12010694
 0.00196454]",[0.01464128 0.01052511 0.9482092  0.02662434],[9.997498e-01 2.501962e-04],"[3.5476994e-06 4.1939486e-03 1.3435058e-01 8.0193287e-01 5.7389017e-02
 2.1075595e-03 2.0540023e-05 1.8417680e-06 1.0180609e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,Asian,Female,20-29,"[5.4767036e-01 5.3971965e-04 3.6157298e-01 4.8038997e-02 2.3124922e-02
 1.0139667e-02 8.9134239e-03]",[4.4252083e-01 3.2916979e-04 4.9260718e-01 6.4542897e-02],[6.5548974e-04 9.9934453e-01],"[1.1124014e-08 3.8570262e-05 8.2917705e-02 8.5923266e-01 5.7321336e-02
 4.8658843e-04 2.9452888e-06 1.6267585e-07 7.6227948e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Male,20-29,"[9.65520024e-01 5.00697002e-04 1.98223628e-02 2.74455433e-05
 1.19237004e-04 3.52753536e-03 1.04827397e-02]",[0.82761496 0.01266623 0.00886405 0.15085477],[9.9998820e-01 1.1831252e-05],"[6.6611316e-09 7.7178647e-06 8.0322791e-03 9.0879035e-01 8.2674995e-02
 4.9348583e-04 1.1927386e-06 2.6245202e-08 1.1493099e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,20-29,"[7.2200149e-01 1.3102147e-02 2.1813877e-01 5.6796393e-04 1.5504641e-03
 3.4055870e-02 1.0583279e-02]",[9.8577201e-01 3.7942565e-04 1.0255777e-03 1.2823077e-02],[9.9930489e-01 6.9507555e-04],"[3.00723116e-07 2.36073669e-04 3.77109461e-02 8.78274620e-01
 8.29516128e-02 8.21489957e-04 4.74775061e-06 1.90715866e-07
 1.08316955e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,Southeast Asian,Asian,Male,20-29,"[0.02971876 0.10652299 0.15954854 0.16850209 0.2932369  0.24019966
 0.00227115]",[0.02068545 0.29188195 0.61170816 0.07572441],[0.99767125 0.00232874],"[3.6032654e-07 2.5273641e-04 8.6320348e-02 8.7145799e-01 4.1390494e-02
 5.7059835e-04 6.4981919e-06 9.0094653e-07 8.3497071e-08]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,East Asian,Asian,Female,20-29,"[1.9085085e-02 6.2835158e-04 4.7093909e-02 4.8844326e-01 4.1728771e-01
 2.7117083e-02 3.4457596e-04]",[9.7850323e-02 1.8416563e-04 8.8779145e-01 1.4174001e-02],[0.00240124 0.99759877],"[1.07288884e-07 4.66393220e-04 1.09074406e-01 8.35980654e-01
 5.38432524e-02 6.32192532e-04 2.84924704e-06 1.76032060e-07
 1.09396670e-08]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Male,20-29,"[9.9098688e-01 4.3918661e-04 5.3215404e-03 2.2070319e-04 3.4242636e-04
 6.2474544e-04 2.0644395e-03]",[9.9798292e-01 1.6150734e-04 7.1518007e-04 1.1404268e-03],[0.9908844  0.00911555],"[1.7839797e-07 1.1919955e-05 4.5949128e-03 6.9715869e-01 2.8045991e-01
 1.7133869e-02 6.1389053e-04 2.3430186e-05 3.1067495e-06]",1,White,20-39
