face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,East Asian,Asian,Female,20-29,"[7.0577872e-04 6.7187291e-05 9.3617830e-03 5.5638808e-01 4.2982671e-01
 3.6173372e-03 3.3160784e-05]",[0.00836847 0.00496442 0.9591087  0.0275584 ],[2.6657128e-05 9.9997330e-01],"[1.1289420e-08 2.4558447e-05 7.7427447e-02 8.4782463e-01 7.3569328e-02
 1.1506018e-03 3.2954533e-06 9.2068177e-08 9.0183366e-10]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Black,Black,Female,30-39,"[2.4784455e-05 9.9913836e-01 5.2058639e-04 4.8736834e-05 1.6167431e-04
 1.0362288e-04 2.3420907e-06]",[3.4942273e-05 9.9893242e-01 4.4503663e-04 5.8757275e-04],[1.5162764e-04 9.9984837e-01],"[1.8754589e-07 9.1309616e-05 1.6574085e-02 4.5142528e-01 4.7714350e-01
 5.3640023e-02 1.1099810e-03 1.5176831e-05 4.4305003e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,Black,Black,Female,20-29,"[7.0488820e-04 5.6614441e-01 1.0164198e-01 1.5393050e-03 9.1353305e-02
 2.3858282e-01 3.3320692e-05]",[0.00084454 0.7445271  0.01476849 0.23985991],[3.681767e-05 9.999632e-01],"[1.1619360e-08 4.1704530e-05 7.3897704e-02 8.4277934e-01 8.2328796e-02
 9.4945316e-04 2.9125113e-06 2.1858558e-08 3.2814768e-10]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,Southeast Asian,Asian,Female,20-29,"[1.5523727e-04 9.5012510e-05 4.4444175e-03 3.4055489e-01 6.5395486e-01
 7.8953878e-04 6.1228620e-06]",[2.4168212e-04 2.8970579e-04 9.9770862e-01 1.7600169e-03],[4.4281114e-05 9.9995577e-01],"[2.2813051e-08 2.6915153e-05 4.2066738e-02 7.9650182e-01 1.5817198e-01
 3.2189074e-03 1.3239520e-05 3.4780223e-07 3.5051637e-09]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,Southeast Asian,Asian,Female,20-29,"[2.7008451e-04 9.0173206e-05 9.4629293e-03 3.2680944e-01 6.5849972e-01
 4.8441673e-03 2.3510929e-05]",[1.3435648e-04 2.2371719e-04 9.9505639e-01 4.5855711e-03],[6.906934e-05 9.999310e-01],"[3.60973829e-08 1.21594487e-04 1.20912559e-01 8.10512662e-01
 6.74370974e-02 1.01349480e-03 2.48702850e-06 1.01183744e-07
 1.64131575e-09]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,Indian,Black,Male,20-29,"[5.2156876e-04 4.5953709e-01 4.5348901e-02 7.5299607e-04 2.4901763e-02
 4.6867228e-01 2.6530214e-04]",[3.1848333e-04 9.4273186e-01 1.8924307e-03 5.5057190e-02],[9.9999285e-01 7.1864915e-06],"[1.3837018e-07 5.2079172e-06 5.0838315e-03 5.7062835e-01 3.9934027e-01
 2.4594124e-02 3.4426746e-04 3.7338850e-06 1.0815829e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,Black,Black,Male,30-39,"[9.7073853e-06 9.9142075e-01 3.3793112e-04 5.2398264e-05 7.8808534e-04
 7.3865275e-03 4.5768147e-06]",[3.4516224e-06 9.9706429e-01 4.7507809e-05 2.8847544e-03],[0.9758195  0.02418051],"[1.0010999e-06 7.6674871e-05 7.9793474e-03 2.5256816e-01 4.3297634e-01
 2.5724894e-01 4.7519062e-02 1.4576544e-03 1.7283062e-04]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,Indian,Black,Male,30-39,"[1.7961093e-04 4.4970745e-01 1.5612094e-02 1.3253041e-05 4.5385404e-04
 5.3335321e-01 6.8057713e-04]",[1.2892831e-04 7.6716125e-01 1.4005671e-04 2.3256978e-01],[9.9999964e-01 3.8141556e-07],"[1.3793166e-07 2.7276853e-06 7.6976547e-04 2.2596425e-01 6.9581228e-01
 7.6065093e-02 1.3759644e-03 9.6166414e-06 1.4720224e-07]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,Indian,Black,Male,30-39,"[2.5428552e-03 1.4059483e-01 1.2611562e-01 4.1166801e-04 4.9861735e-03
 7.2385728e-01 1.4916462e-03]",[0.00094588 0.92258793 0.00115679 0.07530937],[9.9997079e-01 2.9229528e-05],"[2.8508771e-07 9.1392531e-06 2.3869902e-03 4.3522486e-01 5.3527927e-01
 2.6800195e-02 2.9651760e-04 2.5490938e-06 5.0716082e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.02592475 0.00441133 0.35695228 0.00204723 0.00985331 0.3444262
 0.25638488]",[0.10406561 0.00933431 0.0646363  0.8219638 ],[9.999919e-01 8.127666e-06],"[9.9717658e-07 1.8409721e-04 2.8073808e-02 7.5154012e-01 2.0622040e-01
 1.3788429e-02 1.8833941e-04 3.6306849e-06 7.1781514e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0010_face0.png,Black,Black,Male,30-39,"[2.9302109e-04 9.2307186e-01 1.0381183e-02 2.2469931e-05 1.0759624e-03
 6.4767502e-02 3.8803942e-04]",[1.8598051e-04 9.4952178e-01 2.2443091e-04 5.0067876e-02],[9.9999899e-01 1.0273768e-06],"[1.0903744e-07 2.9078715e-06 2.0455425e-03 2.8838688e-01 5.9133428e-01
 1.1368096e-01 4.5019453e-03 4.6301462e-05 1.0668731e-06]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0011_face0.png,Indian,Indian,Male,30-39,"[0.01007905 0.00502131 0.20313036 0.00103063 0.00493192 0.65654635
 0.11926045]",[1.2642862e-03 6.1656768e-03 6.3743052e-04 9.9193257e-01],[9.9999994e-01 3.9451152e-08],"[2.0531328e-07 4.7944591e-06 4.5619678e-04 2.7799013e-01 6.7856091e-01
 4.2832781e-02 1.5391006e-04 1.0374902e-06 8.4563938e-09]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0012_face0.png,Black,Black,Male,30-39,"[2.6153614e-07 9.9928463e-01 2.1969154e-05 5.8712891e-07 2.5798285e-05
 6.6624634e-04 5.5611179e-07]",[1.4513627e-06 9.9810910e-01 8.3176492e-05 1.8062145e-03],[9.9999994e-01 8.6578041e-08],"[4.2502681e-09 2.1774743e-07 5.4317445e-04 3.6449048e-01 5.8793640e-01
 4.6682455e-02 3.4566177e-04 1.5337263e-06 4.2541917e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0013_face0.png,Black,Black,Female,20-29,"[7.2804814e-06 9.9790442e-01 9.0460735e-04 5.3221306e-06 1.0546978e-04
 1.0709555e-03 1.9669933e-06]",[1.4383593e-05 9.9944723e-01 3.3798008e-06 5.3497968e-04],[2.0536401e-05 9.9997944e-01],"[1.0334354e-08 1.4187774e-04 1.1340787e-01 8.3406800e-01 5.2113269e-02
 2.6787582e-04 1.0246074e-06 3.8361043e-09 4.8930221e-11]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0014_face0.png,Latino_Hispanic,Indian,Female,20-29,"[4.5962604e-03 3.3530839e-02 3.9429560e-01 2.1273147e-02 2.8393182e-01
 2.6215529e-01 2.1706546e-04]",[0.03740919 0.2562555  0.03370343 0.6726319 ],[8.6072005e-06 9.9999136e-01],"[1.6254268e-09 6.1392011e-06 4.4059843e-02 8.7439209e-01 8.0706105e-02
 8.3434972e-04 1.4801197e-06 1.1729094e-08 1.1778954e-10]",2,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0015_face0.png,Southeast Asian,Indian,Female,10-19,"[1.0000661e-03 2.9318824e-02 1.1258832e-01 1.7285421e-02 6.4089817e-01
 1.9888432e-01 2.4804320e-05]",[0.00867849 0.0928876  0.10380972 0.7946242 ],[2.9077053e-05 9.9997091e-01],"[2.4438551e-08 1.8608206e-03 5.9875929e-01 3.9630204e-01 3.0690469e-03
 8.7838880e-06 7.7376301e-09 1.9469401e-10 4.6547835e-12]",0,Asian,10-19
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0016_face0.png,Latino_Hispanic,Indian,Male,20-29,"[8.6597987e-03 5.2125949e-02 3.7665957e-01 1.1355163e-04 1.5676628e-03
 3.6442095e-01 1.9645245e-01]",[0.00578217 0.0492141  0.00152257 0.94348115],[9.9999964e-01 3.4712144e-07],"[6.6775459e-07 4.2088377e-05 4.7447393e-03 5.5687213e-01 4.1800329e-01
 2.0157969e-02 1.7755419e-04 1.6379433e-06 2.2630427e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0017_face0.png,Latino_Hispanic,White,Male,40-49,"[3.1902018e-01 3.2460269e-02 5.7191741e-01 1.6497220e-04 8.2348078e-04
 3.9618477e-02 3.5995170e-02]",[0.73552203 0.09710576 0.0041248  0.16324747],[9.9999988e-01 1.1987899e-07],"[8.7770411e-07 7.3475494e-06 5.8605871e-04 1.8829236e-02 4.3363586e-01
 4.8574582e-01 6.0857162e-02 3.3526783e-04 2.3102734e-06]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0018_face0.png,Black,Black,Male,30-39,"[6.5554264e-07 9.9989939e-01 1.8230230e-05 3.0586889e-07 7.5122093e-06
 7.3500625e-05 3.7968923e-07]",[1.3531937e-07 9.9997538e-01 7.0804763e-06 1.7464678e-05],[9.998947e-01 1.053419e-04],"[2.3737000e-07 4.8076831e-06 1.4380644e-03 2.0887668e-01 5.1621741e-01
 2.6089245e-01 1.2306775e-02 2.4309216e-04 2.0471192e-05]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0019_face0.png,Indian,Indian,Male,30-39,"[7.9619111e-03 9.4151340e-02 2.2696094e-01 5.2697629e-05 5.8720011e-04
 5.1521808e-01 1.5506777e-01]",[9.2767435e-04 2.1146534e-02 5.2149518e-04 9.7740430e-01],[9.999999e-01 9.406984e-08],"[6.0515430e-07 1.9234498e-05 9.9858106e-04 2.7475083e-01 6.5793246e-01
 6.5418050e-02 8.7390834e-04 6.1715346e-06 7.5381458e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0020_face0.png,Indian,Indian,Male,30-39,"[0.00848691 0.0215375  0.3284928  0.0014267  0.01054136 0.60339904
 0.0261157 ]",[0.0072773  0.02257349 0.00692324 0.96322596],[9.9999863e-01 1.3462105e-06],"[1.6603016e-06 6.5848311e-05 3.0178046e-03 3.7580103e-01 5.8366847e-01
 3.7157368e-02 2.8494655e-04 2.8100690e-06 4.6150589e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0021_face0.png,Black,Black,Male,20-29,"[1.4881190e-06 9.9969268e-01 5.0570907e-05 3.2986570e-06 7.0281305e-05
 1.8080171e-04 8.2041959e-07]",[3.0745451e-07 9.9993145e-01 1.0154002e-05 5.8044778e-05],[0.99623775 0.00376223],"[1.02506746e-07 2.92962104e-05 3.10961828e-02 7.21428037e-01
 2.26529270e-01 2.03802492e-02 5.30109566e-04 6.12919939e-06
 6.16288673e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0022_face0.png,Black,Black,Male,30-39,"[1.4311618e-06 9.9906355e-01 1.6243976e-04 3.4653972e-06 1.4620920e-04
 6.2245957e-04 4.2467380e-07]",[3.0307122e-06 9.9889493e-01 2.4310379e-04 8.5888704e-04],[0.88982725 0.11017276],"[2.7813857e-07 5.8496785e-06 1.8158229e-03 1.5367393e-01 4.5757487e-01
 3.5628211e-01 3.0413687e-02 2.2236547e-04 1.0947231e-05]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0023_face0.png,Black,Black,Male,20-29,"[7.5496985e-07 9.9971306e-01 2.4529269e-05 2.7163713e-07 8.2051583e-06
 2.5219310e-04 9.4593639e-07]",[5.7468230e-07 9.9987215e-01 5.4456405e-06 1.2184515e-04],[9.9999815e-01 1.8213714e-06],"[8.2578024e-09 4.8653800e-07 1.5948262e-03 4.7163326e-01 4.6947959e-01
 5.6192696e-02 1.0910842e-03 7.7999402e-06 2.6428305e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0024_face0.png,Black,Black,Female,20-29,"[6.9864407e-05 9.9600190e-01 1.8921649e-03 6.3135685e-06 8.1843347e-05
 1.9432054e-03 4.8465345e-06]",[3.9742058e-04 9.9627727e-01 2.0462580e-04 3.1206447e-03],[2.2117374e-05 9.9997795e-01],"[2.1848482e-08 5.2479831e-05 4.7323257e-02 8.3928758e-01 1.1232219e-01
 1.0105597e-03 3.8788462e-06 2.3488468e-08 2.8689587e-10]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0025_face0.png,Black,Black,Male,20-29,"[9.2826494e-06 9.9218720e-01 6.9844886e-04 1.7751532e-05 5.3157122e-04
 6.5433308e-03 1.2520836e-05]",[5.0987383e-06 9.9772096e-01 3.1839852e-05 2.2421633e-03],[9.999079e-01 9.205601e-05],"[2.5954509e-07 8.4645937e-05 5.8250904e-02 7.3101121e-01 1.9579750e-01
 1.4534543e-02 3.1646088e-04 4.1884377e-06 1.8646470e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0026_face0.png,Black,Black,Male,30-39,"[3.5724163e-06 9.9896795e-01 1.4517865e-04 5.2853045e-07 1.8562288e-05
 8.5980864e-04 4.2778261e-06]",[8.1022863e-06 9.9810630e-01 2.9615911e-05 1.8560349e-03],[9.9999988e-01 1.2405785e-07],"[4.9461075e-08 2.5708521e-06 1.6086268e-03 3.4110034e-01 5.5131704e-01
 1.0300833e-01 2.9411186e-03 2.1456379e-05 5.1424541e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0027_face0.png,Black,Black,Male,20-29,"[1.7597129e-05 9.8740464e-01 1.3501012e-03 9.8947976e-06 3.2399257e-04
 1.0867047e-02 2.6611291e-05]",[2.3857938e-05 9.9286807e-01 1.7273281e-04 6.9353380e-03],[9.9998933e-01 1.0703963e-05],"[1.2225063e-07 8.5401643e-06 4.2387489e-03 5.2039438e-01 4.5427734e-01
 2.0919615e-02 1.6033006e-04 8.6222218e-07 3.1688856e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0028_face0.png,Indian,Indian,Male,20-29,"[1.1012030e-03 5.7550333e-02 1.5012927e-01 1.5737065e-04 3.4990369e-03
 7.7966791e-01 7.8949146e-03]",[0.00224846 0.04313714 0.00136695 0.9532474 ],[9.9999994e-01 9.4070913e-08],"[5.0983624e-07 2.5829151e-05 4.0401402e-03 4.8312199e-01 4.8115209e-01
 3.1276189e-02 3.7901665e-04 4.1426811e-06 5.2076402e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0029_face0.png,Black,Indian,Male,30-39,"[5.7008234e-04 5.1640135e-01 8.0116503e-02 5.4613345e-05 1.6980954e-03
 3.8986808e-01 1.1291261e-02]",[3.8448547e-04 3.2879996e-01 4.9147237e-04 6.7032409e-01],[9.9999994e-01 6.9152449e-08],"[1.5442462e-06 8.2487531e-05 8.0820285e-03 3.2932594e-01 5.7079589e-01
 8.9796618e-02 1.8987749e-03 1.6588749e-05 2.0432971e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0030_face0.png,Black,Black,Male,20-29,"[1.6577068e-06 9.9977505e-01 5.0601582e-05 2.8317865e-07 1.0603503e-05
 1.5975823e-04 1.9089996e-06]",[9.1532269e-07 9.9991632e-01 5.1140332e-06 7.7622724e-05],[9.9999988e-01 1.2777237e-07],"[2.0117822e-08 2.5459774e-06 1.0398996e-02 7.4854261e-01 2.2504751e-01
 1.5684290e-02 3.1986780e-04 4.0092791e-06 1.4245261e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_happy/happy_person_0031_face0.png,East Asian,Asian,Male,30-39,"[0.00581573 0.00093555 0.14275779 0.5012826  0.32526684 0.02083026
 0.00311123]",[0.00461433 0.00600978 0.90185213 0.08752374],[9.9999356e-01 6.4499282e-06],"[1.0788185e-06 1.7965534e-05 1.3056473e-03 2.1230190e-01 6.3254416e-01
 1.4840698e-01 5.1838984e-03 2.3489725e-04 3.4101618e-06]",2,Asian,20-39
