face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Female,20-29,"[9.3856227e-01 5.1741546e-04 7.5990809e-03 3.2800555e-05 5.0243270e-05
 2.3685837e-04 5.3001381e-02]",[9.9224532e-01 6.6647667e-04 2.6427696e-03 4.4454089e-03],[0.03002397 0.969976  ],"[9.69315508e-08 2.39690853e-05 1.09831495e-02 6.13892019e-01
 3.41579586e-01 3.25706340e-02 9.02192551e-04 4.58048889e-05
 2.52715449e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Male,20-29,"[8.2149291e-01 1.1253789e-04 7.5103366e-03 5.6689873e-06 3.0513838e-05
 4.2789642e-04 1.7042008e-01]",[9.9976099e-01 3.0748684e-05 5.9787926e-06 2.0231381e-04],[0.9855218  0.01447818],"[3.5679829e-08 1.6289119e-05 2.7603876e-02 8.8273752e-01 8.6813338e-02
 2.7802158e-03 4.6934932e-05 1.6242305e-06 1.5837939e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,White,Male,30-39,"[8.8415807e-01 7.6841569e-04 2.0976694e-02 2.9992386e-06 2.4191688e-05
 1.4006220e-03 9.2669062e-02]",[0.98537755 0.00099248 0.00110783 0.01252217],[0.8475166 0.1524834],"[6.3822469e-08 4.9223195e-06 3.4516389e-03 4.1856477e-01 5.2341378e-01
 5.2815244e-02 1.6908507e-03 5.5660792e-05 3.1293941e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,White,White,Male,20-29,"[9.5967102e-01 3.1472661e-04 1.6136549e-02 2.2384853e-05 4.9913604e-05
 6.7826118e-03 1.7022716e-02]",[8.7538719e-01 1.9749212e-03 3.0006433e-04 1.2233781e-01],[0.998347   0.00165303],"[2.4474053e-08 2.1451563e-06 3.7295178e-03 7.1409273e-01 2.6757380e-01
 1.4323593e-02 2.6999065e-04 7.4212617e-06 7.8914462e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,Middle Eastern,White,Male,20-29,"[0.31439593 0.01202446 0.11504599 0.00088283 0.00737136 0.0456032
 0.5046763 ]",[9.9060035e-01 5.6342105e-04 1.0729430e-03 7.7633532e-03],[0.9512947  0.04870528],"[4.8062061e-06 3.6846395e-03 2.2653334e-01 6.4924347e-01 1.1111126e-01
 8.8808583e-03 4.3938294e-04 8.6245665e-05 1.5939704e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,Middle Eastern,White,Female,30-39,"[3.2437930e-01 5.5115148e-03 4.1725043e-02 3.0643361e-05 3.2970431e-04
 2.5980806e-02 6.0204297e-01]",[7.8663188e-01 1.7210445e-03 5.7375751e-04 2.1107325e-01],[0.16741154 0.8325885 ],"[7.3515304e-07 2.6236063e-05 4.2529400e-03 2.6646453e-01 5.4098427e-01
 1.7745835e-01 9.8637259e-03 7.8061968e-04 1.6856083e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,Middle Eastern,White,Female,20-29,"[4.0956154e-01 2.5455354e-04 2.4725644e-02 5.0918854e-05 1.6040081e-04
 3.0595600e-03 5.6218731e-01]",[9.7558552e-01 2.6425140e-04 6.3620135e-04 2.3514017e-02],[0.06596664 0.93403333],"[3.0928691e-06 7.9599605e-04 5.0533149e-02 7.0440930e-01 2.2416896e-01
 1.9454766e-02 5.8297708e-04 4.8115879e-05 3.6270997e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,20-29,"[9.3875223e-01 1.0177991e-04 2.4025450e-02 5.6338317e-06 3.9027746e-05
 5.8108004e-04 3.6494736e-02]",[9.9374741e-01 2.0825253e-04 2.5862144e-04 5.7856715e-03],[0.93042666 0.06957334],"[1.0842514e-07 3.4436485e-05 3.3231661e-02 7.8677869e-01 1.7186937e-01
 8.0001457e-03 8.1817292e-05 3.4924378e-06 2.8108596e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,White,White,Female,20-29,"[9.9208963e-01 4.7386279e-06 1.8421563e-03 1.8146733e-05 2.4864637e-05
 4.1871332e-05 5.9785922e-03]",[9.9972749e-01 5.2417449e-06 4.8412589e-05 2.1885606e-04],[0.2092545 0.7907455],"[3.9705093e-08 2.7571668e-05 4.1967839e-02 8.6669970e-01 8.6676322e-02
 4.5590652e-03 6.6130495e-05 2.8898637e-06 3.7790102e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,White,White,Male,20-29,"[8.7907082e-01 1.0528712e-03 6.4023390e-02 1.5048719e-04 4.0539849e-04
 5.8669727e-03 4.9430009e-02]",[9.7459173e-01 6.6370622e-04 1.0866635e-03 2.3657871e-02],[0.886396 0.113604],"[1.2239697e-07 4.9273509e-05 5.1727910e-02 8.0058140e-01 1.4148107e-01
 6.0548531e-03 9.9420198e-05 5.2805572e-06 7.0682142e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0010_face0.png,White,White,Female,20-29,"[7.5696087e-01 1.1222176e-05 4.2780833e-03 1.4839474e-05 2.2937340e-05
 2.7676244e-04 2.3843534e-01]",[9.99575853e-01 1.01763035e-04 3.14431163e-05 2.90938304e-04],[0.05379758 0.94620246],"[1.4119001e-07 1.1666699e-04 5.1295571e-02 8.7728029e-01 6.9179170e-02
 2.1016176e-03 2.5134392e-05 1.2364019e-06 1.3367131e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0011_face0.png,White,Indian,Female,20-29,"[8.7978756e-01 2.5028543e-04 5.9384115e-02 7.8624602e-05 5.2922603e-04
 2.5412529e-03 5.7428952e-02]",[0.28834143 0.00483625 0.00428496 0.70253736],[0.27914244 0.72085756],"[1.7776803e-06 6.5313978e-04 5.7931263e-02 7.1292317e-01 2.1041013e-01
 1.7787464e-02 2.7194896e-04 1.7661971e-05 3.4165544e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0012_face0.png,White,White,Male,20-29,"[6.6881090e-01 6.2206513e-05 1.5361958e-02 4.1632622e-05 2.3200201e-04
 1.2903388e-03 3.1420097e-01]",[0.653577   0.00139882 0.00204779 0.34297642],[0.9019886  0.09801139],"[1.4247134e-04 5.7774257e-02 3.8686749e-01 4.7504091e-01 7.0809878e-02
 9.0891775e-03 2.3738702e-04 3.0715400e-05 7.7492687e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0013_face0.png,White,White,Male,20-29,"[8.7878138e-01 5.2270307e-03 6.8959162e-02 4.6324285e-04 1.5763770e-03
 9.4505316e-03 3.5542324e-02]",[9.8563862e-01 4.4135670e-03 3.7172783e-04 9.5761809e-03],[0.95809954 0.04190044],"[2.6562113e-06 4.9254589e-04 3.4523532e-02 5.8285832e-01 3.3399421e-01
 4.6588238e-02 1.4111147e-03 1.0343476e-04 2.5999441e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0014_face0.png,Middle Eastern,White,Female,20-29,"[4.3783337e-01 1.9147650e-05 4.4228509e-03 3.9401725e-06 2.5537223e-05
 7.8438804e-04 5.5691081e-01]",[9.4529325e-01 6.0547004e-04 5.0914474e-04 5.3592149e-02],[0.11122826 0.8887718 ],"[2.7385710e-07 1.1708251e-04 2.4723783e-02 6.3495779e-01 3.0769619e-01
 3.1687442e-02 7.9615047e-04 2.0309968e-05 1.0036449e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0015_face0.png,White,White,Female,20-29,"[9.3511641e-01 2.8135430e-04 1.2397379e-02 1.0700027e-05 4.4028220e-05
 4.4992258e-04 5.1700223e-02]",[0.87469274 0.00153492 0.00171985 0.12205246],[0.17592798 0.824072  ],"[3.3147376e-08 3.4738900e-05 3.2771852e-02 8.0494583e-01 1.5826799e-01
 3.9458126e-03 3.2731892e-05 1.0265574e-06 9.9203582e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0016_face0.png,White,Indian,Male,20-29,"[6.30183697e-01 5.13087865e-03 1.08044006e-01 2.33850355e-04
 2.44604750e-03 9.60988924e-03 2.44351611e-01]",[0.31537956 0.01004573 0.03343182 0.6411429 ],[0.9694815  0.03051854],"[6.8685307e-07 4.8242553e-05 1.4421298e-02 6.2264812e-01 3.2997066e-01
 3.1659096e-02 1.1600876e-03 8.2617742e-05 9.2317305e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0017_face0.png,Middle Eastern,White,Male,30-39,"[0.25937378 0.04297008 0.13720173 0.00259229 0.00778568 0.01764943
 0.5324271 ]",[0.8934383  0.02390443 0.00850958 0.07414774],[0.84297943 0.15702055],"[9.5095847e-06 7.4771444e-05 4.2138421e-03 1.5598574e-01 4.5651031e-01
 2.9334569e-01 6.8878539e-02 1.6601922e-02 4.3796287e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_fearful/fearful_person_0018_face0.png,White,White,Male,20-29,"[7.6308089e-01 3.3749396e-04 5.9111532e-02 4.6415509e-05 2.5366695e-04
 1.6488101e-02 1.6068172e-01]",[9.7517812e-01 3.3704157e-04 7.2866467e-05 2.4411997e-02],[0.98850334 0.01149662],"[1.6855559e-07 1.0735678e-05 6.9831829e-03 5.7418555e-01 3.8313904e-01
 3.4873240e-02 7.8051456e-04 2.4562181e-05 2.9444050e-06]",1,White,20-39
