face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,20-29,"[6.99990869e-01 2.39583838e-04 1.54271543e-01 7.01579032e-04
 3.92897613e-03 3.04420870e-02 1.10425316e-01]",[0.8910614  0.00214163 0.00564759 0.10114934],[9.9981809e-01 1.8196921e-04],"[8.0211109e-08 1.8076464e-05 2.9561812e-02 9.1606581e-01 5.3638753e-02
 7.1067625e-04 4.3975601e-06 3.6002055e-07 2.3332079e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,White,White,Male,20-29,"[9.9922967e-01 1.2855750e-05 4.1727751e-04 1.5468333e-06 4.5562815e-06
 4.3202740e-06 3.2987591e-04]",[9.9994564e-01 7.4725394e-06 3.5024980e-06 4.3427757e-05],[0.98980564 0.0101944 ],"[1.6542408e-08 6.8122836e-06 6.8716849e-03 7.1449047e-01 2.6951307e-01
 9.0265702e-03 9.0336194e-05 9.5694566e-07 5.3704692e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,White,Male,20-29,"[4.52306420e-01 8.36234726e-03 1.54845133e-01 8.58993371e-05
 2.77636107e-04 1.07836295e-02 3.73338968e-01]",[9.6296847e-01 1.3601212e-03 9.1279049e-05 3.5580121e-02],[0.59788233 0.40211767],"[1.9918622e-07 2.5386773e-05 1.8126277e-02 5.5531240e-01 3.9833248e-01
 2.7516138e-02 6.5632659e-04 2.7762546e-05 3.0516233e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,White,White,Male,30-39,"[9.9430090e-01 2.5504971e-05 2.1276143e-03 2.7337817e-05 4.2905445e-05
 1.5517659e-04 3.3205538e-03]",[9.9906582e-01 6.0364408e-05 3.3217177e-04 5.4166920e-04],[9.9982637e-01 1.7360976e-04],"[3.6088860e-08 2.8948436e-06 9.5284061e-04 2.5254929e-01 6.9353133e-01
 5.2699421e-02 2.6299243e-04 1.2208931e-06 3.4091332e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,20-29,"[9.9198419e-01 1.1775267e-05 4.7428012e-03 3.0689100e-06 1.4265395e-05
 9.0596368e-05 3.1532743e-03]",[9.9949843e-01 3.5350109e-05 1.9981955e-05 4.4627261e-04],[9.9929613e-01 7.0390245e-04],"[3.2450881e-08 4.1557851e-06 1.4396119e-02 7.9241031e-01 1.8208502e-01
 1.0913068e-02 1.8775073e-04 3.3139017e-06 1.9166418e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Male,20-29,"[9.4103700e-01 1.8604165e-05 6.6322838e-03 3.2145545e-05 7.3368719e-05
 1.0721795e-04 5.2099381e-02]",[9.9629569e-01 1.0739953e-04 2.9612923e-04 3.3007916e-03],[0.9711325  0.02886746],"[3.3455926e-08 1.6072436e-05 9.5356546e-02 8.6811739e-01 3.5230555e-02
 1.2587073e-03 2.0033922e-05 6.2484145e-07 4.0973628e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,White,White,Male,30-39,"[9.8460299e-01 5.6653254e-05 7.7859550e-03 1.6221997e-05 5.4759163e-05
 3.3224502e-04 7.1511706e-03]",[9.9682695e-01 4.3244068e-05 3.9617353e-04 2.7336115e-03],[9.9909943e-01 9.0057176e-04],"[2.4663038e-07 6.2355753e-06 1.1782811e-03 2.9892212e-01 6.3603818e-01
 6.3262299e-02 5.8770261e-04 4.7479130e-06 1.5129646e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,White,Male,20-29,"[8.3780700e-01 1.8518501e-04 1.1896974e-01 2.9709967e-04 5.7482731e-04
 4.7530090e-03 3.7413251e-02]",[9.8805094e-01 3.9003129e-04 1.1804895e-03 1.0378521e-02],[0.97669554 0.02330447],"[1.1992915e-06 1.2112248e-04 2.0857293e-02 6.8416524e-01 2.7673092e-01
 1.7855341e-02 2.5778214e-04 1.0136393e-05 9.9592262e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,White,Male,20-29,"[9.7723699e-01 4.8825426e-05 1.1041328e-02 7.6483611e-06 1.1215831e-05
 1.7375695e-04 1.1480161e-02]",[9.8974591e-01 7.5098540e-04 1.8604982e-03 7.6425713e-03],[0.7989488  0.20105116],"[1.2517926e-07 4.6219080e-05 6.0103122e-02 8.1865782e-01 1.1728677e-01
 3.8771923e-03 2.7647779e-05 9.7545364e-07 4.8945736e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,20-29,"[9.67400372e-01 1.02601625e-04 2.33058110e-02 1.81659270e-04
 3.51776893e-04 7.31517735e-04 7.92619213e-03]",[9.98730361e-01 6.77329808e-05 1.05341474e-04 1.09652313e-03],[9.9951643e-01 4.8355258e-04],"[4.73571845e-07 1.45925715e-05 6.74617197e-03 5.58395624e-01
 4.09512281e-01 2.50543617e-02 2.69305165e-04 6.89690205e-06
 2.48936317e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0010_face0.png,White,White,Male,20-29,"[8.7956285e-01 3.7786685e-04 6.2613808e-02 7.2212577e-05 2.1670909e-04
 4.6016420e-03 5.2554891e-02]",[9.1197038e-01 7.8620471e-04 1.9264682e-03 8.5316896e-02],[0.99032634 0.00967365],"[1.0210673e-06 1.0920767e-03 2.8760955e-01 6.5733492e-01 5.1402777e-02
 2.5222288e-03 3.5317407e-05 1.8257568e-06 2.7302238e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0011_face0.png,White,White,Male,30-39,"[9.5666754e-01 8.6670720e-05 1.8493233e-02 9.6300037e-06 3.7835031e-05
 1.6458679e-04 2.4540357e-02]",[9.9931121e-01 1.1646495e-04 7.2927265e-05 4.9949606e-04],[9.9998260e-01 1.7401293e-05],"[4.6233687e-08 1.1134002e-06 1.5278443e-03 4.2649195e-01 5.4920131e-01
 2.2662325e-02 1.1440861e-04 1.0419882e-06 1.4210148e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,White,White,Female,20-29,"[8.7708807e-01 7.1289134e-05 4.0162105e-02 2.9253875e-05 5.1856801e-05
 8.0309674e-04 8.1794254e-02]",[9.9934262e-01 5.6496825e-05 1.9525787e-05 5.8133440e-04],[0.3566664 0.6433337],"[1.7228385e-07 1.2007963e-04 9.2414312e-02 8.4358352e-01 6.2335230e-02
 1.5363959e-03 9.8184792e-06 4.1647849e-07 2.2295875e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0013_face0.png,White,White,Female,20-29,"[9.9911207e-01 1.0702007e-06 1.7809364e-04 3.1293578e-07 7.5270731e-07
 2.2232923e-06 7.0548867e-04]",[9.9992085e-01 3.5044322e-05 9.1155516e-06 3.4921013e-05],[0.37768674 0.6223132 ],"[4.8605426e-07 5.4072135e-04 7.1793087e-02 7.2541422e-01 1.7173202e-01
 2.9837871e-02 6.6361198e-04 1.6184136e-05 1.8945052e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0014_face0.png,White,White,Female,20-29,"[9.9989998e-01 2.5368576e-07 4.5396726e-05 8.3641055e-07 7.8967514e-07
 2.9388843e-07 5.2409145e-05]",[9.9993873e-01 1.7191653e-05 1.5988229e-05 2.8155024e-05],[0.3241408 0.6758592],"[6.1488396e-07 3.7933383e-04 7.6573610e-02 6.7718351e-01 2.1780805e-01
 2.7735420e-02 3.1422370e-04 4.9252649e-06 3.5472431e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0015_face0.png,White,White,Male,20-29,"[9.9581367e-01 2.2723293e-06 1.3771214e-03 3.7520847e-05 4.1192005e-05
 5.9883765e-05 2.6682569e-03]",[9.9925274e-01 1.0106234e-05 1.8699580e-05 7.1845023e-04],[0.75507987 0.24492013],"[3.2714593e-06 1.4502672e-04 2.2513125e-02 5.8566421e-01 3.1542045e-01
 7.3723137e-02 2.4225507e-03 1.0086544e-04 7.4758655e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0016_face0.png,White,White,Male,20-29,"[7.1605170e-01 3.9845934e-05 2.2396743e-02 1.7177790e-05 5.4127660e-05
 2.6876229e-04 2.6117167e-01]",[9.9864566e-01 4.7455385e-04 1.5621183e-04 7.2358834e-04],[9.9982256e-01 1.7741107e-04],"[3.9074712e-09 2.5540421e-06 1.5465904e-02 8.8343662e-01 1.0029971e-01
 7.9287495e-04 2.2776730e-06 3.9171518e-08 7.8362872e-10]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0017_face0.png,White,White,Male,20-29,"[9.3318111e-01 4.1397955e-04 2.5069149e-02 7.5554366e-05 1.7411824e-04
 1.1364927e-03 3.9949588e-02]",[9.9910748e-01 7.4410891e-05 2.0176683e-04 6.1631738e-04],[9.9968421e-01 3.1579263e-04],"[7.3192545e-08 5.0073368e-06 6.9456799e-03 5.7570738e-01 3.9431480e-01
 2.2749767e-02 2.7113533e-04 5.9689464e-06 2.1024753e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0018_face0.png,White,White,Male,20-29,"[9.9969363e-01 1.6113837e-06 4.6101584e-05 1.6548333e-07 6.8436731e-07
 4.1749572e-06 2.5360851e-04]",[9.9995965e-01 4.5785405e-06 5.6678482e-07 3.5212273e-05],[9.9986893e-01 1.3106853e-04],"[8.8180531e-07 6.9329239e-05 6.5582762e-03 4.9361908e-01 4.4230556e-01
 5.6954376e-02 4.8743116e-04 4.7441549e-06 2.9954029e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0019_face0.png,White,White,Male,30-39,"[9.9721146e-01 4.9583530e-05 1.3808239e-03 1.5237664e-06 6.8271979e-06
 5.1616073e-05 1.2981008e-03]",[9.9799627e-01 3.2910830e-04 1.5874462e-05 1.6586767e-03],[9.9963933e-01 3.6066090e-04],"[7.4212110e-08 1.7405604e-06 2.5207369e-04 1.0807176e-01 6.9238818e-01
 1.9519678e-01 4.0432764e-03 4.4406388e-05 1.7372088e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0020_face0.png,White,White,Male,60-69,"[8.2898611e-01 1.4597514e-03 5.5985134e-02 8.3602426e-06 1.4334540e-04
 3.3430267e-02 7.9987034e-02]",[0.7360512  0.00340124 0.00481566 0.2557319 ],[0.5546119  0.44538805],"[1.4632229e-05 1.6781880e-04 5.5805682e-03 4.0328547e-02 9.3432739e-02
 1.6684778e-01 2.6313549e-01 2.8300884e-01 1.4748360e-01]",White,60+
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0021_face0.png,White,White,Male,20-29,"[9.9947768e-01 1.1099826e-06 2.2010261e-04 2.1654173e-06 1.9164554e-06
 2.2697625e-06 2.9457945e-04]",[9.9999446e-01 7.7563391e-07 1.6637781e-06 3.1744464e-06],[9.9995118e-01 4.8865546e-05],"[2.6078559e-10 2.6234528e-07 3.3823922e-02 9.4851047e-01 1.7536683e-02
 1.2824114e-04 4.5812860e-07 7.3990516e-09 2.3058253e-10]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0022_face0.png,White,White,Male,30-39,"[9.9992377e-01 4.7165551e-07 1.0093469e-05 8.6037903e-07 2.0847017e-06
 2.4785831e-07 6.2572144e-05]",[9.9999344e-01 5.2454584e-07 3.6662118e-06 2.3354387e-06],[9.9995947e-01 4.0524195e-05],"[1.7553901e-07 7.7680361e-06 8.1815984e-04 2.6320565e-01 6.7786598e-01
 5.7824623e-02 2.7624256e-04 1.3742215e-06 6.1736515e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0023_face0.png,White,White,Male,20-29,"[9.9616766e-01 5.8346018e-06 1.9160181e-03 8.2135211e-06 3.2124870e-05
 2.7880957e-05 1.8422585e-03]",[9.9994260e-01 1.6726749e-06 3.1775755e-05 2.3878421e-05],[9.999808e-01 1.919039e-05],"[7.7744616e-08 5.5699597e-06 6.7286412e-03 7.0192331e-01 2.7988350e-01
 1.1363113e-02 9.4547606e-05 1.2725397e-06 3.0551540e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0024_face0.png,White,White,Male,30-39,"[9.9502629e-01 1.6564141e-05 1.2169963e-03 1.1179017e-06 7.6769456e-06
 1.1825446e-04 3.6131451e-03]",[9.9978399e-01 6.0374550e-06 1.2919326e-05 1.9703557e-04],[9.9999529e-01 4.7070466e-06],"[4.8960276e-09 1.8308313e-07 6.5296008e-05 1.8297566e-01 7.5146353e-01
 6.5287434e-02 2.0690857e-04 9.9167971e-07 2.5857165e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0025_face0.png,White,White,Male,20-29,"[8.6144549e-01 1.4006729e-04 1.3209678e-02 2.5345716e-05 1.0896152e-04
 7.0665497e-04 1.2436376e-01]",[9.9980819e-01 4.2085853e-06 1.3108246e-05 1.7456419e-04],[9.992661e-01 7.339408e-04],"[2.6124184e-07 1.8034423e-04 1.2389419e-01 7.9359770e-01 7.9516046e-02
 2.7838582e-03 2.6508609e-05 1.0477277e-06 5.1154842e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0026_face0.png,White,White,Male,30-39,"[8.1400722e-01 7.0179827e-03 4.9833987e-02 2.5800057e-04 4.8057703e-04
 5.9192530e-03 1.2248286e-01]",[0.85078996 0.03059987 0.07303847 0.04557165],[0.96597433 0.03402569],"[1.3554404e-05 1.4921383e-04 2.3953083e-03 7.4332587e-02 4.4941399e-01
 4.2267820e-01 4.8328247e-02 2.3124123e-03 3.7643412e-04]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0027_face0.png,White,White,Male,20-29,"[9.3843383e-01 5.8529582e-05 2.9503901e-02 9.4975816e-04 4.7591497e-04
 3.6106075e-04 3.0216927e-02]",[9.9411047e-01 3.7961281e-04 4.6428130e-03 8.6707954e-04],[0.99891174 0.00108829],"[3.3576654e-08 2.5236636e-06 1.8803263e-02 8.3905560e-01 1.3857125e-01
 3.5323927e-03 3.4035329e-05 8.8689302e-07 3.7352052e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0028_face0.png,White,White,Male,20-29,"[8.32251787e-01 9.23728567e-06 8.15889705e-03 6.48122077e-05
 1.12611175e-04 3.71232454e-04 1.59031481e-01]",[9.9844450e-01 9.7814836e-06 5.8175152e-05 1.4875709e-03],[0.83972955 0.16027044],"[5.0180427e-07 2.6986422e-04 1.4137223e-01 7.4246544e-01 1.0864743e-01
 7.0902160e-03 1.4460919e-04 8.8389088e-06 7.9931482e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0029_face0.png,White,White,Female,20-29,"[9.96857464e-01 9.16479124e-08 2.35170184e-04 6.45581054e-07
 2.44786088e-06 1.02271115e-05 2.89403670e-03]",[9.9988675e-01 1.5365696e-06 4.1629314e-06 1.0757299e-04],[0.42074317 0.57925683],"[2.2408356e-06 1.8450260e-04 2.3113163e-02 4.1815874e-01 3.5810083e-01
 1.9325516e-01 6.9936845e-03 1.8255110e-04 9.1663342e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0030_face0.png,White,White,Male,20-29,"[9.3140048e-01 2.6332784e-06 2.3985619e-03 3.1719039e-06 1.3244340e-05
 1.8819461e-04 6.5993711e-02]",[9.9907261e-01 4.4005074e-06 9.6759788e-05 8.2625519e-04],[9.9996257e-01 3.7463484e-05],"[8.5965191e-09 6.1482746e-07 2.9385199e-03 7.5545394e-01 2.3711942e-01
 4.4696182e-03 1.7701315e-05 1.9836398e-07 5.0716129e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0031_face0.png,White,White,Male,20-29,"[9.9861580e-01 1.7667459e-06 1.7998737e-04 1.9308252e-06 2.4105605e-06
 4.6740379e-06 1.1933289e-03]",[9.9958462e-01 7.7682598e-05 1.7874600e-05 3.1986876e-04],[0.5303062  0.46969378],"[8.3968487e-08 2.9703235e-04 1.6203380e-01 7.9434037e-01 4.1488968e-02
 1.8235040e-03 1.5523294e-05 6.0632027e-07 8.7599744e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0032_face0.png,White,White,Male,30-39,"[9.9151969e-01 8.3944091e-05 1.6991055e-03 4.7470389e-06 1.6458773e-05
 3.3420263e-04 6.3418774e-03]",[9.9956113e-01 2.4067007e-05 1.8904155e-05 3.9595648e-04],[0.9941516  0.00584841],"[1.0535108e-06 1.2751038e-05 5.5286865e-04 7.1400173e-02 4.9658352e-01
 4.0280765e-01 2.8260158e-02 3.5724445e-04 2.4598427e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_unhappy/unhappy_person_0033_face0.png,White,White,Male,30-39,"[9.9044174e-01 3.5204721e-05 3.3596840e-03 3.1321611e-05 1.1117506e-04
 2.1230555e-04 5.8086333e-03]",[9.9945331e-01 1.0526139e-05 4.5606841e-05 4.9045263e-04],[0.8258287  0.17417134],"[1.6523585e-06 4.3469528e-05 1.6179972e-03 1.5450200e-01 4.6742615e-01
 3.4522566e-01 2.9585116e-02 1.3873124e-03 2.1065313e-04]",White,20-39
