face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,Latino_Hispanic,White,Male,40-49,"[0.3104117  0.01234343 0.43273577 0.02462976 0.1351721  0.01890804
 0.06579921]",[0.42478165 0.30172327 0.18234621 0.09114882],[0.9231601  0.07683996],"[7.8427220e-05 1.4876301e-03 1.0685954e-02 3.3809401e-02 2.3410042e-01
 4.7407061e-01 2.3012425e-01 1.4913233e-02 7.3008944e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,White,Male,30-39,"[0.5986886  0.06919535 0.1867895  0.00295102 0.01732365 0.01696364
 0.10808831]",[0.7588454  0.17107564 0.02391825 0.04616074],[0.92169577 0.07830425],"[3.5955379e-06 7.5370168e-05 5.6482689e-03 1.7064969e-01 5.4474747e-01
 2.4616195e-01 3.0565847e-02 2.0194177e-03 1.2835009e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,Latino_Hispanic,White,Male,40-49,"[0.2862553  0.23725985 0.305492   0.01010629 0.10568565 0.04250423
 0.01269665]",[0.5107337  0.14654125 0.33300906 0.00971598],[9.9943548e-01 5.6444044e-04],"[5.1691350e-06 2.6103138e-05 5.5727211e-04 9.2673572e-03 1.4661662e-01
 5.4724538e-01 2.8927413e-01 6.8582320e-03 1.4985639e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,Black,Asian,Male,30-39,"[0.09768069 0.36462668 0.24164847 0.06744216 0.18638043 0.02803175
 0.01418993]",[0.04591768 0.13139054 0.75381136 0.06888043],[0.99771917 0.00228077],"[1.1703196e-05 5.9740257e-04 1.3959416e-02 1.3249765e-01 4.9670646e-01
 3.1324977e-01 4.1621014e-02 1.2976320e-03 5.8888461e-05]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,White,White,Male,40-49,"[0.8211172  0.00107483 0.1398689  0.00180437 0.00816812 0.00383507
 0.02413144]",[9.8851281e-01 7.4290212e-05 1.1068907e-02 3.4402334e-04],[0.96952814 0.03047186],"[7.9087913e-06 8.9699024e-05 3.2167623e-03 3.0973880e-02 1.6333030e-01
 5.0794238e-01 2.7268437e-01 2.0483306e-02 1.2713732e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,White,White,Female,30-39,"[0.6607468  0.00479197 0.1043096  0.06565686 0.12832844 0.00251216
 0.03365423]",[0.6463647  0.01764158 0.33210185 0.00389187],[0.10188455 0.89811546],"[1.81199521e-05 6.05202920e-04 2.92726494e-02 3.17891181e-01
 5.54952323e-01 9.28115100e-02 4.32537869e-03 1.18800526e-04
 4.87702391e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,White,White,Male,40-49,"[0.46095523 0.01068313 0.22582448 0.01830173 0.16691221 0.0588599
 0.05846339]",[0.6821818  0.08965141 0.16224924 0.0659176 ],[0.98427993 0.01572009],"[5.2641858e-06 7.1586503e-05 5.0153853e-03 4.9720388e-02 2.8263056e-01
 5.1031584e-01 1.4339802e-01 8.5044196e-03 3.3841384e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,White,Male,40-49,"[0.43516847 0.12761842 0.08350398 0.07587472 0.22870377 0.01222551
 0.03690512]",[0.72428024 0.06108031 0.2083132  0.00632627],[0.8166578  0.18334223],"[5.5910808e-05 1.4194951e-03 1.6938351e-02 1.1246421e-01 3.3895114e-01
 3.7599415e-01 1.3967088e-01 1.3207502e-02 1.2983696e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,Southeast Asian,Asian,Male,30-39,"[0.16756228 0.00563351 0.06529598 0.24903332 0.43341315 0.07044141
 0.00862027]",[0.03290094 0.020677   0.7902861  0.15613599],[0.6939954 0.3060046],"[2.5342617e-04 1.1734237e-02 4.9515765e-02 1.3779998e-01 4.0292606e-01
 3.0174866e-01 8.5536323e-02 9.3815355e-03 1.1039739e-03]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0010_face0.png,Latino_Hispanic,Asian,Male,30-39,"[0.2858765  0.00076974 0.29202095 0.16357803 0.24359496 0.00824074
 0.00591896]",[6.7893830e-03 5.6923502e-05 9.9089223e-01 2.2614722e-03],[9.9984765e-01 1.5233574e-04],"[7.5016027e-07 5.6939240e-05 1.5175802e-02 2.6211679e-01 6.3056296e-01
 8.9766867e-02 2.2950794e-03 2.4292289e-05 5.0138482e-07]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0011_face0.png,Latino_Hispanic,Asian,Male,40-49,"[0.11682486 0.00818329 0.40483695 0.06549055 0.32622248 0.013638
 0.0648038 ]",[0.1273989  0.10119144 0.7437708  0.02763889],[0.9964136  0.00358644],"[3.3141914e-04 7.6258173e-03 5.4078758e-02 9.6428253e-02 3.5887221e-01
 3.6926672e-01 1.0674994e-01 6.3591539e-03 2.8781014e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0012_face0.png,Latino_Hispanic,Black,Male,40-49,"[0.13807526 0.18718359 0.382551   0.01154581 0.12613526 0.0530583
 0.10145077]",[0.07622638 0.6846659  0.04878062 0.19032705],[0.7899392  0.21006073],"[1.3602240e-05 2.6440196e-04 4.0165400e-03 2.0801982e-02 1.6654392e-01
 5.0363970e-01 2.6461995e-01 3.6867537e-02 3.2322989e-03]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0013_face0.png,Middle Eastern,White,Female,40-49,"[0.17107141 0.0916846  0.14270186 0.0070669  0.0216624  0.05966157
 0.5061512 ]",[0.5720867  0.16517834 0.233082   0.02965295],[0.45937875 0.5406213 ],"[0.00154222 0.02064198 0.03636577 0.06597636 0.19170317 0.34991977
 0.25276843 0.06838305 0.01269924]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0014_face0.png,White,White,Male,30-39,"[0.8485989  0.02324142 0.07931486 0.00359363 0.02271638 0.00575672
 0.01677808]",[0.4112603  0.3024959  0.26067638 0.02556746],[9.9994552e-01 5.4486016e-05],"[1.17619265e-05 5.10905811e-04 2.00657062e-02 3.22243005e-01
 5.05001426e-01 1.44621700e-01 7.34146079e-03 1.97283807e-04
 6.70932832e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0015_face0.png,Latino_Hispanic,White,Female,40-49,"[0.35967988 0.05074908 0.39397287 0.00589975 0.02601633 0.06041261
 0.10326949]",[0.83937025 0.03313322 0.09528881 0.03220779],[0.31925148 0.68074846],"[8.9536552e-06 1.8415730e-04 7.2350651e-03 5.6158997e-02 2.8904614e-01
 4.3082836e-01 2.0307173e-01 1.3033433e-02 4.3315018e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0017_face0.png,Latino_Hispanic,White,Male,30-39,"[0.14784053 0.05035476 0.5890578  0.04217372 0.10524254 0.03462589
 0.03070475]",[0.5805213  0.14784123 0.24198966 0.02964783],[0.6421737 0.3578263],"[6.9475085e-05 2.3528957e-03 8.5940771e-02 3.2142138e-01 4.1675353e-01
 1.5937571e-01 1.3480374e-02 5.8794988e-04 1.7875480e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0018_face0.png,Latino_Hispanic,White,Male,30-39,"[0.08509035 0.14752945 0.48248997 0.05494325 0.20700589 0.00661273
 0.01632841]",[0.500293   0.01940503 0.46976438 0.01053753],[0.99120957 0.00879048],"[2.3975375e-07 3.3168522e-05 1.2457828e-02 3.3187526e-01 5.9634668e-01
 5.7956547e-02 1.3133455e-03 1.6307647e-05 6.0510052e-07]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_angry/angry_person_0019_face0.png,White,White,Male,30-39,"[9.9064499e-01 3.4340640e-04 2.8113439e-03 5.5538822e-04 1.5014242e-03
 6.9236325e-04 3.4510409e-03]",[9.9545836e-01 2.0924358e-04 3.1763010e-03 1.1561012e-03],[0.9892764  0.01072364],"[3.60721742e-06 6.28697526e-05 3.09716770e-03 1.42932624e-01
 4.51072693e-01 3.46277863e-01 5.45413271e-02 1.89110660e-03
 1.20824865e-04]",0,White,20-39
