face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0000_face0.png,White,White,Male,40-49,"[4.8485324e-01 3.6986108e-04 3.0378419e-01 3.1087650e-03 2.5363732e-02
 1.7475204e-01 7.7681271e-03]",[7.1984285e-01 1.5278072e-04 5.6817640e-02 2.2318679e-01],[9.9995923e-01 4.0766663e-05],"[3.4272518e-06 9.1705777e-05 1.1330944e-03 2.7123978e-03 8.5249744e-02
 6.8703747e-01 2.2149724e-01 2.2473184e-03 2.7557409e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0001_face0.png,White,Asian,Male,50-59,"[0.33203483 0.00161651 0.3156207  0.00541297 0.05310499 0.1273386
 0.16487141]",[1.9319619e-01 2.2714939e-04 5.6420016e-01 2.4237651e-01],[9.9999464e-01 5.3775016e-06],"[3.2999793e-05 4.6965248e-05 2.7159014e-04 5.0646433e-04 1.2049767e-02
 1.9393212e-01 6.6878176e-01 1.2159478e-01 2.7836256e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0002_face0.png,White,Asian,Female,20-29,"[9.3254721e-01 9.4123323e-05 5.3112311e-03 4.6493322e-02 1.3668471e-02
 2.9451709e-05 1.8561949e-03]",[0.34473497 0.00253761 0.6420956  0.0106318 ],[0.0053314 0.9946686],"[1.1469831e-06 5.5414937e-03 2.3758794e-01 7.4081230e-01 1.5906574e-02
 1.5018899e-04 3.5909190e-07 1.3316103e-08 2.3412570e-09]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0003_face0.png,Indian,Indian,Female,20-29,"[0.03882944 0.0688889  0.2930399  0.00087877 0.00160181 0.58775634
 0.0090049 ]",[0.02285415 0.33459008 0.00202273 0.64053303],[7.845457e-07 9.999992e-01],"[5.5463995e-10 5.8354890e-05 1.1990101e-01 8.5644048e-01 2.3569910e-02
 3.0198358e-05 2.8080484e-08 2.8266708e-10 3.1715409e-12]",2,Others,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0004_face0.png,White,White,Female,10-19,"[5.5452985e-01 1.8520687e-04 1.3558939e-01 1.0572459e-03 1.7708632e-03
 3.9362911e-02 2.6750457e-01]",[9.0901709e-01 3.2158426e-04 3.1169897e-02 5.9491325e-02],[4.4860385e-06 9.9999553e-01],"[3.5126209e-09 1.5911822e-03 6.6467130e-01 3.3182546e-01 1.9092325e-03
 2.7530693e-06 1.6472528e-09 5.6234236e-11 2.1770077e-12]",2,White,10-19
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0005_face0.png,White,White,Male,30-39,"[9.9286985e-01 8.1037615e-05 3.7000286e-03 7.8979010e-06 6.5456341e-05
 1.0050710e-03 2.2707013e-03]",[0.97946423 0.00341523 0.00303404 0.01408649],[0.52529573 0.4747042 ],"[3.4464074e-07 3.9059902e-05 1.1838547e-02 3.8677588e-01 4.8453024e-01
 1.1046323e-01 6.2111979e-03 1.3328002e-04 8.2242395e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0006_face0.png,Southeast Asian,Asian,Male,30-39,"[1.4964921e-03 1.1091964e-04 3.1277314e-02 1.2823959e-01 8.3385909e-01
 4.8848707e-03 1.3173353e-04]",[7.2237599e-05 1.6128541e-05 9.9766332e-01 2.2482956e-03],[9.999998e-01 2.301016e-07],"[8.0152462e-09 9.1587390e-07 2.1185032e-03 3.4863380e-01 6.0088778e-01
 4.7342479e-02 1.0015096e-03 1.4803356e-05 1.6808565e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0007_face0.png,Southeast Asian,Asian,Male,40-49,"[5.63164940e-03 1.35863647e-02 1.23593286e-01 6.25238344e-02
 7.23644078e-01 7.06155747e-02 4.05144703e-04]",[4.2957794e-03 9.1773400e-04 9.3735957e-01 5.7426967e-02],[9.9999714e-01 2.8414911e-06],"[2.9507132e-07 4.9121363e-06 2.0665638e-04 2.0004345e-02 2.6419389e-01
 5.8287388e-01 1.3082826e-01 1.8515808e-03 3.6189911e-05]",0,Asian,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0008_face0.png,East Asian,Asian,Male,20-29,"[4.4490033e-04 3.5416313e-06 9.7352602e-03 8.1125581e-01 1.7672738e-01
 1.7568945e-03 7.6226555e-05]",[1.4062853e-02 4.4321187e-05 9.7686046e-01 9.0323333e-03],[0.8634496  0.13655047],"[1.3982990e-06 3.3609308e-03 1.9469404e-01 7.2394407e-01 7.4646428e-02
 3.2942907e-03 5.5078886e-05 3.6892900e-06 1.1251790e-07]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_person/person_0009_face0.png,White,White,Male,50-59,"[0.7262741  0.00139022 0.0365162  0.00512547 0.07269519 0.15258268
 0.00541612]",[0.5897042  0.00075753 0.12652248 0.2830158 ],[9.9990493e-01 9.5100993e-05],"[5.8062484e-05 3.1490374e-04 1.5553904e-03 2.3966725e-03 9.6175130e-03
 8.3540805e-02 4.5597801e-01 3.9625165e-01 5.0286975e-02]",1,White,40-59
