face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,White,Male,50-59,"[5.4003918e-01 5.7962310e-02 3.1448886e-01 4.1420484e-04 1.2046878e-03
 2.0945927e-02 6.4944766e-02]",[0.9084274  0.01836331 0.00423522 0.06897411],[0.98915106 0.01084896],"[1.20927682e-04 7.49015133e-04 5.67756966e-03 8.85438547e-03
 3.25563736e-02 2.00852573e-01 6.10946000e-01 1.28032163e-01
 1.22110145e-02]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,White,Male,40-49,"[0.671366   0.01150133 0.10512496 0.00415579 0.00328386 0.0041742
 0.20039387]",[0.6354795  0.00837641 0.32079622 0.03534787],[0.9987022  0.00129776],"[6.1840910e-06 1.9031871e-05 4.6741852e-04 2.4673870e-02 1.8966593e-01
 4.9513051e-01 2.6998273e-01 1.8313013e-02 1.7413293e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,White,Asian,Male,40-49,"[0.7233423  0.01280672 0.10877986 0.0473795  0.08114624 0.0092542
 0.0172911 ]",[0.06887369 0.00316646 0.9259325  0.00202736],[0.95803    0.04196999],"[3.9122202e-05 1.4192032e-03 1.2723334e-02 7.8221090e-02 2.1169695e-01
 4.2190996e-01 2.4083219e-01 2.6196260e-02 6.9618602e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,White,White,Male,40-49,"[9.4880080e-01 1.3246716e-05 2.5084497e-02 2.8885477e-03 8.2389945e-03
 4.7551421e-03 1.0218748e-02]",[8.7369096e-01 4.5861057e-06 1.2375469e-01 2.5497074e-03],[9.9999851e-01 1.4537759e-06],"[1.8500725e-06 6.7641915e-05 2.5625480e-03 7.2214389e-03 6.6477403e-02
 4.7630790e-01 4.2293006e-01 2.3609104e-02 8.2200480e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,Middle Eastern,White,Male,50-59,"[0.2394298  0.00125897 0.34922618 0.01897706 0.02759474 0.00902392
 0.35448936]",[9.2825830e-01 1.8987637e-04 7.0932120e-02 6.1966677e-04],[9.9976885e-01 2.3116618e-04],"[2.5122045e-04 1.7103154e-03 7.6628160e-03 7.3677539e-03 6.6297717e-02
 2.4292320e-01 5.6364614e-01 1.0438149e-01 5.7591815e-03]",0,Others,40-59
/scratch/project_462001220/mengting/projects_771/bias/SD3/prompt2/complete_selected_faces/detected_angry/0005_face0.png,White,White,Male,50-59,"[0.56434304 0.00717465 0.22042398 0.00953991 0.09011162 0.08591264
 0.02249416]",[0.71824795 0.00260516 0.02554753 0.25359938],[9.9999994e-01 5.4770538e-08],"[8.2898276e-07 3.0741755e-06 5.0786097e-05 6.8706594e-04 1.4514835e-02
 2.6453778e-01 6.2226427e-01 9.6327759e-02 1.6135812e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,Latino_Hispanic,White,Male,50-59,"[0.23672043 0.00145235 0.35800135 0.0022622  0.03548426 0.14719078
 0.21888866]",[0.5994871  0.00168438 0.21811402 0.18071455],[9.999996e-01 4.491454e-07],"[2.2753224e-05 9.0418762e-05 1.1469116e-03 4.4544619e-03 5.1019061e-02
 3.7156555e-01 5.1963973e-01 5.0834540e-02 1.2266017e-03]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,Latino_Hispanic,Asian,Male,50-59,"[0.2920879  0.00183148 0.32223964 0.02499385 0.0631923  0.05184087
 0.243814  ]",[0.36699602 0.00216548 0.57420194 0.05663656],[0.9642771  0.03572288],"[5.9635531e-05 2.9200051e-04 1.4035935e-03 7.1919528e-03 4.6241440e-02
 2.2480211e-01 4.1684932e-01 2.1933897e-01 8.3820991e-02]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,Black,White,Male,60-69,"[0.00357928 0.8422328  0.02536799 0.01113149 0.04135597 0.06627983
 0.0100526 ]",[0.5051667  0.10404195 0.01078531 0.380006  ],[0.9786009  0.02139904],"[6.2830936e-06 1.9334007e-05 7.1147813e-05 2.0676996e-03 1.1978101e-02
 7.0395254e-02 2.0195913e-01 4.0074348e-01 3.1275955e-01]",1,Black,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,70+,"[4.8871997e-01 1.4586964e-03 2.2452675e-02 4.4465225e-04 1.6287131e-03
 1.9533439e-02 4.6576193e-01]",[0.9717601  0.00624952 0.00587921 0.01611122],[0.996037   0.00396298],"[3.4711375e-05 7.8670666e-05 2.4798207e-04 5.7677797e-04 2.7644422e-03
 3.1129681e-02 2.5885770e-01 3.4217507e-01 3.6413503e-01]",0,White,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0010_face0.png,White,Indian,Male,40-49,"[0.47340372 0.0684505  0.07711569 0.00067113 0.0112252  0.31061336
 0.05852041]",[0.2893286  0.11471628 0.09831842 0.4976367 ],[0.99120307 0.0087969 ],"[5.0689305e-06 4.1500425e-05 4.9511954e-04 1.3011048e-02 1.2568071e-01
 4.5658147e-01 3.4037724e-01 5.2055489e-02 1.1752406e-02]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0011_face0.png,White,Asian,Male,40-49,"[0.6050759  0.01461999 0.19262643 0.01508643 0.01182614 0.00962009
 0.15114492]",[0.22436193 0.00188586 0.76451445 0.00923785],[0.99684 0.00316],"[1.6586389e-05 5.4466116e-05 5.2408781e-04 3.0979427e-02 2.7258232e-01
 5.1127028e-01 1.7310296e-01 1.0599809e-02 8.7006984e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0012_face0.png,Latino_Hispanic,White,Male,30-39,"[0.30203536 0.03807237 0.43919536 0.01428975 0.02266072 0.02441326
 0.15933317]",[9.8675478e-01 9.3228504e-04 1.0462716e-02 1.8502210e-03],[0.9962034  0.00379665],"[1.5064905e-05 9.8383665e-05 2.3236326e-03 1.5484221e-01 4.7866765e-01
 3.0654332e-01 5.3721607e-02 3.5205120e-03 2.6768827e-04]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_angry/angry_person_0013_face0.png,Black,Black,Male,40-49,"[8.7548251e-04 9.8700315e-01 3.7849378e-03 1.3763487e-03 4.8358883e-03
 1.9521734e-03 1.7213108e-04]",[3.2202102e-04 9.3554670e-01 5.9022445e-02 5.1087933e-03],[0.96251786 0.03748215],"[4.9601993e-05 1.2336115e-03 3.9213444e-03 5.5639293e-02 2.4139415e-01
 3.7836003e-01 2.0170060e-01 7.3996387e-02 4.3705016e-02]",0,Black,40-59
