face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_from_name,gender_from_name,adjusted_race
detected_faces/CFD-WF-209-052-N_face0.jpg,White,White,Female,20-29,"[9.7142988e-01 8.6206428e-06 2.5259027e-02 1.6472334e-03 5.5413187e-04
 1.5404310e-05 1.0857321e-03]",[9.8607516e-01 7.9897617e-04 1.2761011e-02 3.6490354e-04],[0.01507328 0.98492676],"[2.80184940e-05 2.00475026e-02 3.99080008e-01 4.65453416e-01
 1.11907825e-01 3.42966802e-03 5.24140487e-05 1.07598851e-06
 3.64660302e-08]",White,Female,White
detected_faces/CFD-BF-202-109-N_face0.jpg,Black,Black,Female,30-39,"[3.4004603e-05 9.6600544e-01 9.8648211e-03 1.4975308e-04 3.3951562e-03
 2.0473093e-02 7.7824414e-05]",[2.0130732e-05 9.9675190e-01 1.0687161e-03 2.1591613e-03],[0.04523224 0.9547677 ],"[1.3170605e-06 5.3128580e-05 7.8379996e-03 1.1260554e-01 5.3250700e-01
 3.1759357e-01 2.8972827e-02 4.1922255e-04 9.3853032e-06]",Black,Female,Black
detected_faces/CFD-LF-246-129-N_face0.jpg,Latino_Hispanic,White,Female,20-29,"[0.20076658 0.00065751 0.47247759 0.00076831 0.0012121  0.05604528
 0.26807266]",[0.7602701  0.00861418 0.00341703 0.22769864],[3.4242476e-05 9.9996573e-01],"[2.7837674e-09 1.8093571e-06 1.1816115e-02 6.1749554e-01 3.6437348e-01
 6.2864330e-03 2.6477490e-05 2.1881698e-07 1.3166931e-09]",Latino/a,Female,Latino_Hispanic
detected_faces/CFD-WF-238-023-N_face0.jpg,White,White,Female,20-29,"[9.9158454e-01 4.6517016e-06 5.6445994e-03 3.8078910e-04 8.9011475e-05
 3.0052151e-05 2.2663488e-03]",[9.9200624e-01 2.3605619e-04 7.4707512e-03 2.8688181e-04],[1.3144077e-05 9.9998689e-01],"[9.2763294e-08 9.4472409e-05 3.6609653e-02 6.0989636e-01 3.3910528e-01
 1.4245139e-02 4.8632017e-05 4.0053553e-07 4.7439870e-09]",White,Female,White
detected_faces/CFD-WM-017-019-F_face0.jpg,White,White,Male,20-29,"[9.99914110e-01 4.29765095e-08 1.44573905e-05 2.91569563e-07
 4.91753497e-07 2.06433285e-07 7.03588739e-05]",[9.9995613e-01 1.0333476e-05 1.8785420e-05 1.4782164e-05],[1.0000000e+00 2.4143114e-08],"[5.1227767e-07 1.9373589e-05 1.3908614e-02 5.5523568e-01 3.7779620e-01
 5.1563069e-02 1.4490674e-03 2.7235694e-05 2.3035419e-07]",White,Male,White
detected_faces/CFD-AF-210-050-N_face0.jpg,Southeast Asian,Asian,Female,20-29,"[2.6030920e-04 2.8510694e-04 1.7760666e-02 9.0420216e-02 8.8808715e-01
 3.1766838e-03 9.8814289e-06]",[5.6235894e-04 3.3798614e-03 9.8805600e-01 8.0017839e-03],[0.03529317 0.96470684],"[9.9336837e-08 2.0386606e-04 1.9019952e-01 7.5103408e-01 5.7926685e-02
 6.3401833e-04 1.7343777e-06 2.5839627e-08 6.0625766e-10]",Asian America,Female,Southeast Asian
detected_faces/CFD-AM-217-085-N_face0.jpg,Southeast Asian,Asian,Male,30-39,"[1.3996114e-03 3.3450619e-04 4.4052299e-02 4.5202905e-01 5.0054884e-01
 8.2484027e-04 8.1087084e-04]",[0.00723928 0.00208989 0.97814393 0.01252688],[1.00000000e+00 1.20159624e-08],"[3.5297927e-07 5.2905534e-06 5.2610907e-04 8.7088436e-02 6.4907873e-01
 2.4668640e-01 1.6291719e-02 3.2093510e-04 1.9342122e-06]",Asian America,Male,Southeast Asian
detected_faces/CFD-BF-044-011-HC_face0.jpg,Black,Black,Male,20-29,"[1.6839397e-06 6.6163194e-01 8.0136937e-04 3.5115227e-05 4.3378752e-03
 3.3319080e-01 1.2277354e-06]",[4.9210914e-05 7.0717806e-01 1.1911099e-02 2.8086171e-01],[0.95459175 0.04540826],"[4.1259668e-08 1.2311710e-05 4.0850114e-02 6.4056420e-01 2.9130706e-01
 2.6795788e-02 4.6640178e-04 3.9448441e-06 1.3712767e-07]",Black,Female,Black
detected_faces/CFD-BM-212-117-N_face0.jpg,Black,Black,Male,30-39,"[0.00266119 0.7689626  0.20447473 0.00164702 0.01177334 0.00835907
 0.00212211]",[0.00421973 0.96538335 0.00463621 0.02576087],[9.9941903e-01 5.8090413e-04],"[8.9561053e-07 7.7262548e-06 5.3813597e-03 1.9544648e-01 6.1286283e-01
 1.7551547e-01 1.0700049e-02 8.4019441e-05 1.1872008e-06]",Black,Male,Black
detected_faces/CFD-LM-238-129-N_face0.jpg,Latino_Hispanic,Black,Male,20-29,"[0.31311268 0.01208306 0.38361993 0.00650668 0.00675711 0.00555117
 0.27236933]",[0.3212501  0.66732687 0.00730472 0.00411834],[9.9998701e-01 1.3012781e-05],"[2.6946216e-06 6.0152590e-05 1.6973795e-02 7.7896112e-01 1.9926386e-01
 4.6984414e-03 3.8766899e-05 1.1026739e-06 2.0061151e-08]",Latino/a,Male,Latino_Hispanic
detected_faces/CFD-AF-235-170-N_face0.jpg,Southeast Asian,Asian,Female,20-29,"[2.5549938e-04 4.8611088e-05 5.3855707e-03 4.5546621e-01 5.3821003e-01
 6.1810616e-04 1.5937778e-05]",[1.3294343e-03 8.6967490e-04 9.9630266e-01 1.4982355e-03],[0.00273317 0.9972668 ],"[3.8757310e-07 1.0460388e-03 2.8598246e-01 6.9318902e-01 1.9622680e-02
 1.5902938e-04 3.5164365e-07 1.7143799e-08 3.1014760e-10]",Asian America,Female,Southeast Asian
detected_faces/CFD-WF-001-010-HC_face0.jpg,White,White,Female,20-29,"[9.9033207e-01 3.8726976e-06 7.9385150e-04 5.3830473e-07 1.0291504e-06
 4.8241441e-06 8.8638738e-03]",[9.9727917e-01 2.4533304e-03 6.3822990e-05 2.0366449e-04],[0.00423094 0.9957691 ],"[1.2701162e-07 3.0508296e-05 4.3106537e-02 6.8492883e-01 2.5805685e-01
 1.3540985e-02 3.2832572e-04 7.6903289e-06 1.8545282e-07]",White,Female,White
detected_faces/CFD-BF-047-028-HO_face0.jpg,Black,Black,Female,20-29,"[1.2628844e-05 9.9881870e-01 7.8592438e-04 2.2085947e-06 3.0219322e-05
 3.4530886e-04 5.0865224e-06]",[1.1819882e-05 9.9864018e-01 4.4229859e-05 1.3037908e-03],[0.00878352 0.9912165 ],"[7.0659490e-07 6.3882064e-05 2.2958428e-02 4.6489385e-01 4.3194148e-01
 7.6770589e-02 3.3335986e-03 3.6955007e-05 5.9055162e-07]",Black,Female,Black
detected_faces/CFD-BM-033-003-N_face0.jpg,Black,Black,Male,40-49,"[1.0408528e-05 9.6073174e-01 1.7383533e-03 5.9779231e-05 1.3764391e-03
 3.6072433e-02 1.0961132e-05]",[2.2155180e-05 9.9436426e-01 1.3855067e-03 4.2282003e-03],[0.99247015 0.00752985],"[7.6358594e-07 5.5588921e-06 7.5589301e-04 1.7577970e-02 1.9625653e-01
 6.3921165e-01 1.4421448e-01 1.9037813e-03 7.3304574e-05]",Black,Male,Black
detected_faces/CFD-BF-017-016-F_face0.jpg,Black,Black,Female,30-39,"[1.7723085e-07 9.9992222e-01 3.2091299e-05 1.4243697e-07 1.5126789e-06
 4.3683020e-05 1.1237568e-07]",[4.2332576e-07 9.9991751e-01 9.5009409e-06 7.2634190e-05],[0.01240457 0.98759544],"[1.5775378e-06 5.7271562e-05 6.7361952e-03 1.8651038e-01 4.7100964e-01
 2.9429546e-01 3.9802872e-02 1.5433615e-03 4.3276199e-05]",Black,Female,Black
detected_faces/CFD-WF-025-015-A_face0.jpg,White,White,Female,30-39,"[7.3836297e-01 6.7685207e-05 2.1571936e-01 3.3156418e-03 1.8488907e-03
 7.7294436e-04 3.9912626e-02]",[9.7751915e-01 4.3215946e-04 2.1527380e-02 5.2131992e-04],[5.1949034e-04 9.9948049e-01],"[4.8968349e-08 4.9108348e-06 3.1860997e-03 1.5466762e-01 7.4413306e-01
 9.5391631e-02 2.5778988e-03 3.8480117e-05 2.2883154e-07]",White,Female,White
detected_faces/CFD-BF-038-037-N_face0.jpg,Black,Black,Female,20-29,"[5.3015042e-06 9.9913013e-01 3.0649960e-04 1.8796753e-05 4.5248985e-04
 8.6027416e-05 9.0889034e-07]",[2.6822412e-05 9.9799013e-01 9.2931220e-04 1.0536436e-03],[0.2637975  0.73620254],"[3.2422852e-07 3.5054989e-05 3.8924880e-02 7.6698738e-01 1.8812044e-01
 5.8814799e-03 5.0067254e-05 3.7871649e-07 2.3874247e-08]",Black,Female,Black
detected_faces/CFD-WM-205-007-N_face0.jpg,White,White,Male,20-29,"[9.6973711e-01 1.9378211e-05 1.6382657e-02 5.2689359e-04 5.1697629e-04
 2.8180104e-05 1.2788778e-02]",[9.9822783e-01 3.0566650e-04 1.3750598e-03 9.1419475e-05],[1.000000e+00 9.201164e-09],"[1.4023982e-07 2.4032177e-05 2.3804706e-02 8.2667452e-01 1.4728594e-01
 2.1976132e-03 1.2984079e-05 9.0469584e-08 6.8137146e-10]",White,Male,White
detected_faces/CFD-BF-020-004-HO_face0.jpg,Black,Black,Female,30-39,"[3.4855300e-05 9.8797119e-01 1.0204676e-02 1.1230038e-05 3.9800667e-04
 1.3776670e-03 2.2057905e-06]",[1.5903687e-06 9.9944681e-01 3.9449034e-05 5.1208166e-04],[0.0969152 0.9030848],"[5.9795502e-07 2.1620208e-05 1.8561702e-02 3.7271878e-01 4.3783355e-01
 1.5548722e-01 1.5223627e-02 1.5093722e-04 1.9866250e-06]",Black,Female,Black
